"edon","seccion","mean","sd","median","note"
15,1,23.63,1.79,24.07,""
15,2,17.2,5.54,18.17,""
15,3,26.11,1.93,26.66,""
15,4,8.53,1.75,8.29,""
15,5,11.11,0.92,10.92,""
15,6,12.48,0.46,12.31,""
15,7,9.67,0.7,9.52,""
15,8,11.59,1.37,11.51,""
15,9,10.41,1.11,10.23,""
15,10,9.74,0.99,9.69,""
15,11,6.19,2.71,7,""
15,12,5.46,1.94,5.53,""
15,13,3.86,1.57,4.76,""
15,14,6.35,0.96,6.67,""
15,15,5.2,0.91,5,""
15,16,8.99,2.63,8.63,""
15,17,9.95,4.2,8,""
15,18,13.75,3.31,13.94,""
15,19,9.54,1.81,9.32,""
15,20,9.12,2.05,8.65,""
15,21,10.09,2.33,9.13,""
15,22,11.25,2.95,10.45,""
15,23,7.05,2.49,6.72,""
15,24,6.4,1.02,6.91,""
15,25,19.62,5.76,20.81,""
15,26,13.3,5.72,12.77,""
15,27,13.41,1.15,13.06,""
15,28,13.03,1.82,13.88,""
15,29,12.48,1.1,12.53,""
15,30,12,3.47,10.64,""
15,31,10.19,1.24,10.32,""
15,32,5.86,1.49,5.97,""
15,33,58.18,0.25,58.18,""
15,34,58.73,0.18,58.73,""
15,35,44.32,3.6,43.78,""
15,36,52.84,3.15,53.6,""
15,37,58.9,NA,58.9,""
15,38,58.36,0.77,58.6,""
15,39,54.48,NA,54.48,""
15,40,40.73,8.46,42.26,""
15,41,54.92,3.36,54.92,""
15,42,56.98,1.65,57.2,""
15,43,56.22,3.2,56.94,""
15,44,49.63,4.13,49.87,""
15,45,54.18,3.17,54.18,""
15,46,56.84,0.15,56.89,""
15,47,58.73,0.12,58.73,""
15,48,58.82,NA,58.82,""
15,49,59,0,59,""
15,50,59,0,59,""
15,51,59,0,59,""
15,52,58.32,0.47,58.32,""
15,53,58.73,0.38,58.73,""
15,54,58.12,NA,58.12,""
15,55,56.5,2.01,56.5,""
15,56,57.64,1.23,58.18,""
15,57,58.27,NA,58.27,""
15,59,20.61,NA,20.61,""
15,60,7.48,0.94,7.31,""
15,61,8.66,1.85,8.07,""
15,62,9.38,1.95,8.88,""
15,63,10.47,1.09,10.69,""
15,64,7.64,1.18,7.6,""
15,65,9.29,1.18,8.94,""
15,66,7.9,0.63,8,""
15,67,11.23,3.27,10.68,""
15,68,8.19,2.22,7.83,""
15,69,10.52,2.56,9.48,""
15,70,10.5,1.66,10.23,""
15,71,12.59,1.02,13,""
15,73,4.54,4.16,4.08,""
15,74,6.07,2.13,6.7,""
15,75,7.53,1.69,7.3,""
15,76,9.24,1.71,8.71,""
15,77,7.26,0.29,7.19,""
15,78,7.52,0.47,7.63,""
15,79,6.12,1.36,5.51,""
15,80,7.5,0.62,7.35,""
15,81,5.72,0.95,5.56,""
15,82,18.01,1.87,17.69,""
15,83,13.01,4.56,12.69,""
15,84,9.71,1.87,9.59,""
15,85,13.36,2.14,13.19,""
15,86,12.97,4.69,13.36,""
15,87,8.08,1.05,7.94,""
15,88,6.85,0.98,7.02,""
15,89,9.65,2.67,8.65,""
15,90,4.33,1.21,4.55,""
15,91,3.92,1.4,4.05,""
15,92,7.05,1.99,7,""
15,93,8.42,1.31,8.25,""
15,94,51.04,NA,51.04,""
15,95,8.71,NA,8.71,""
15,96,6.74,1.38,6.51,""
15,97,7.47,0.84,7.69,""
15,98,8.17,1.62,7.75,""
15,99,8.88,1.37,8.37,""
15,100,7.99,2.06,8.69,""
15,101,13.13,0.89,13.57,""
15,102,15.93,0.89,16.05,""
15,103,17.46,0.83,17.07,""
15,104,11.75,1.92,11.38,""
15,105,10.72,0.26,10.75,""
15,106,11.29,0.58,11,""
15,107,10.26,1.74,9.76,""
15,108,9.31,1,9.31,""
15,109,11.1,0.99,10.93,""
15,110,11.93,1.86,11.51,""
15,111,22.22,6.13,19.3,""
15,112,32.16,4.76,33.16,""
15,113,12.04,1.93,11.63,""
15,114,8.64,1,8.59,""
15,115,14.71,2.4,15.02,""
15,116,18.53,1.33,18.96,""
15,117,15.73,1.27,14.86,""
15,118,20.72,7.66,19.74,""
15,119,37.15,2.81,37,""
15,120,45.93,2.52,46.37,""
15,121,39.21,4.75,38.59,""
15,122,42.53,5.81,43.33,""
15,123,50.16,0.94,50.16,""
15,124,49.99,1.76,49.99,""
15,125,48.1,2.69,48.37,""
15,126,42.72,4.49,42.66,""
15,127,26.61,4.75,26.03,""
15,128,29.29,5.02,28.25,""
15,129,27.37,2.86,26.64,""
15,130,40.76,8.45,41.59,""
15,131,45.79,4.15,45.49,""
15,132,50.19,3.06,50.19,""
15,133,44.39,3.07,44.76,""
15,134,15.26,3.79,16.3,""
15,135,7.11,0.43,7,""
15,136,8.94,0.76,8.76,""
15,137,10.22,2,9.82,""
15,138,28.45,9.47,24.75,""
15,139,35.2,4.67,35.9,""
15,140,49.27,2.85,49.27,""
15,141,53.14,NA,53.14,""
15,142,54.46,2.71,54.81,""
15,143,56.48,NA,56.48,""
15,144,52.35,NA,52.35,""
15,145,8.23,0.64,8,""
15,146,6.2,2.07,5.21,""
15,147,8.08,0.37,8,""
