"edon","seccion","mean","sd","median","note"
16,1,3.2,5.18,0,""
16,2,7.45,5.32,5.94,""
16,3,11.8,2.84,11.67,""
16,4,16.83,0.63,16.67,""
16,5,7.72,6.31,6,""
16,6,3.58,1.97,4.22,""
16,7,5.24,3.54,4.76,""
16,8,3.76,2.46,4,""
16,9,1.12,1.64,0,""
16,10,0.3,0.89,0,""
16,11,3.55,6.35,0,""
16,12,1.13,3.06,0,""
16,13,20.19,4.14,20.08,""
16,14,1.73,4.74,0,""
16,15,0.73,2.67,0,""
16,16,2.27,2.8,0.71,""
16,17,0.42,1.32,0,""
16,18,0.4,1.1,0,""
16,19,0.57,1.5,0,""
16,20,0,0,0,""
16,22,0,0,0,""
16,23,0,0,0,""
16,25,0,0,0,""
16,26,14.45,5.46,14.05,""
16,27,9.84,3.78,8.32,""
16,28,19.44,6.18,19.44,""
16,29,24.06,NA,24.06,""
16,30,8.02,1.37,8.14,""
16,31,5.55,1.95,5.75,""
16,32,7.59,1.6,7.6,""
16,33,10.17,1.77,9.86,""
16,34,9.98,1.89,9.46,""
16,35,8.42,1.33,8.13,""
16,36,17.01,3.56,16.83,""
16,37,12.38,1.32,13.15,""
16,38,16.79,3.82,17.7,""
16,39,16.63,3.16,17.61,""
16,40,7.84,4.93,6.08,""
16,41,16.02,2.14,16.02,""
16,42,4.47,3.04,4.59,""
16,43,7.12,0.17,7.12,""
16,44,9.4,3.56,8.27,""
16,45,5.27,2.17,4.76,""
16,46,7.54,3.46,6.77,""
16,47,2.31,1.56,2.46,""
16,48,2.15,1.66,2.17,""
16,49,4.22,1.49,4.51,""
16,50,3.02,2.3,2.65,""
16,51,3.98,1.91,4.69,""
16,52,13.41,0.8,13.41,""
16,53,3.68,4.7,2,""
16,54,7.11,4.01,6.5,""
16,55,4.84,4.76,4.07,""
16,56,5.35,2.38,5.07,""
16,57,9.25,3.28,8.96,""
16,58,47.4,1.73,47.4,""
16,59,50.41,5.47,50.68,""
16,60,43.77,NA,43.77,""
16,61,43.25,13.18,47.44,""
16,62,51.42,6.74,53.98,""
16,63,53.98,NA,53.98,""
16,64,45.56,NA,45.56,""
16,65,52.48,5.1,53.28,""
16,66,56.76,2.07,57.14,""
16,67,57.73,1.49,57.73,""
16,68,57.8,1.26,57.77,""
16,69,58.78,NA,58.78,""
16,70,56.85,2.53,57.78,""
16,71,54.78,2.69,53.98,""
16,72,49.07,4.96,49.07,""
16,73,38.42,6.23,38.42,""
16,74,52.58,NA,52.58,""
16,75,57.78,NA,57.78,""
16,76,58.52,0.53,58.65,""
16,77,58.89,0.15,58.89,""
16,78,59,NA,59,""
16,79,58.77,0.24,58.78,""
16,80,58.14,0.52,58.14,""
16,81,56.07,2.68,56.59,""
16,82,49.39,5.67,49.67,""
16,83,48.33,6.43,46.76,""
16,84,15.44,11.79,13.6,""
16,85,51.08,6.11,51.08,""
16,86,55.4,NA,55.4,""
16,87,58.51,NA,58.51,""
16,88,57.53,1.43,57.47,""
16,89,56.21,2.62,56.59,""
16,90,57.35,1.65,57.35,""
16,91,58.51,NA,58.51,""
16,92,56.96,2.2,56.96,""
16,93,47.38,8.59,46.98,""
16,94,44.92,10.31,46.98,""
16,95,56.03,1.88,55.79,""
16,96,40.36,9.36,40.36,""
16,97,55.11,1.52,55.11,""
16,98,56.18,NA,56.18,""
16,99,56.18,NA,56.18,""
16,100,56.3,0.17,56.3,""
16,101,48.16,6.9,49.55,""
16,102,54.26,1.82,54.04,""
16,103,54.04,NA,54.04,""
16,104,43.19,8.63,46.21,""
16,105,12.37,12.05,7.35,""
16,106,49.84,3.84,49.56,""
16,107,53.09,1.34,53.09,""
16,108,49.53,6.75,52.36,""
16,109,40.88,16.54,40.88,""
16,110,12.28,11.45,6.59,""
16,111,42.82,NA,42.82,""
16,112,52.15,NA,52.15,""
16,113,15.16,10.54,10.39,""
16,114,4.52,2.25,4.15,""
16,115,3.07,4,2.15,""
16,116,6.94,1.75,7.39,""
16,117,3.82,2.04,4,""
16,118,13.06,1.98,12.97,""
16,119,10.48,7.12,8.65,""
16,120,7.18,5.23,5.04,""
16,121,4.97,1.28,4.47,""
16,122,6.63,0.86,6.79,""
16,123,3.29,1.59,4,""
16,124,3.35,1.44,4,""
16,125,3.13,2.12,3.54,""
16,126,2.51,1.84,3.06,""
16,127,2.45,1.78,3.5,""
16,128,0.52,1.36,0,""
16,129,0.09,0.49,0,""
16,130,0,0.02,0,""
16,131,0.94,1.5,0,""
16,132,4.35,2.25,4.71,""
16,133,3.22,2.59,3.83,""
16,134,3.66,1.09,4,""
16,135,2.45,1.68,2.35,""
16,136,1.24,2.22,0,""
16,137,0.54,1.45,0,""
16,138,0.74,1.43,0,""
16,139,2.83,2.73,2.79,""
16,140,0.89,1.77,0,""
16,141,0.08,0.48,0,""
16,142,0.29,0.97,0,""
16,143,0.06,0.36,0,""
16,144,0,0,0,""
16,145,0.14,0.69,0,""
16,146,0.01,0.19,0,""
16,147,0.57,1.32,0,""
16,148,0.18,0.71,0,""
16,149,28.83,2.01,28.99,""
16,150,8.8,9.59,4.97,""
16,151,19.84,8.14,17.97,""
16,152,29.47,1.92,29.47,""
16,153,22.2,6.29,23.49,""
16,154,28.11,NA,28.11,""
16,155,12.21,7.44,12.94,""
16,156,24.58,NA,24.58,""
16,157,1,1.55,0.01,""
16,158,2.4,2.1,3.02,""
16,159,3.04,2.69,3.54,""
16,160,2.02,1.85,2.72,""
16,161,3.01,3.84,1.47,""
16,162,0.88,1.44,0,""
16,163,1.06,1.56,0,""
16,164,0.45,1.08,0,""
16,165,1.26,1.77,0,""
16,166,1.28,1.64,0,""
16,167,0,0,0,""
16,168,1.06,1.77,0,""
16,169,1.75,2.87,0.21,""
16,170,6.24,8.86,2.58,""
16,171,21.16,5.08,21.25,""
16,172,1.5,4.31,0,""
16,173,2.28,6.49,0,""
16,174,1.18,3.35,0,""
16,175,0,0,0,""
16,176,0.33,1.09,0,""
16,177,0.77,2.78,0,""
16,178,0.2,0.79,0,""
16,179,0,0,0,""
16,180,0,0,0,""
16,181,2.21,4,0,""
16,182,0.15,0.7,0,""
16,183,0,0,0,""
16,184,46.64,NA,46.64,""
16,185,35.68,NA,35.68,""
16,186,8.69,NA,8.69,""
16,187,4.17,2.69,4.97,""
16,188,22.65,10.95,20.82,""
16,189,8.89,4.71,7.89,""
16,190,27.07,2.91,27.07,""
16,191,10.39,7.72,6.94,""
16,192,6.63,5.68,6.41,""
16,193,6.76,7.59,4,""
16,194,0.25,0.76,0,""
16,195,1.37,1.65,0.46,""
16,196,0.52,1.67,0,""
16,197,2.71,2.09,3.26,""
16,198,7.27,1.21,7.51,""
16,199,8.86,2.29,8.65,""
16,200,1.87,2.58,0,""
16,201,5.48,7.49,1.95,""
16,202,9.11,7.9,5.16,""
16,203,3.46,5.4,0.76,""
16,204,23.61,NA,23.61,""
16,205,6.26,3.39,7.1,""
16,206,2.08,2.28,0.79,""
16,207,4.12,1.1,4.17,""
16,208,4.43,1,4.19,""
16,209,7.51,1.41,7.94,""
16,210,3.56,1.15,4,""
16,211,3.65,2.2,4.12,""
16,212,0.98,1.67,0,""
16,213,3.78,4.02,3.03,""
16,214,1.56,2.86,0,""
16,215,0,0,0,""
16,216,0,0,0,""
16,217,0,0,0,""
16,218,0,0,0,""
16,219,0.48,1.21,0,""
16,220,0,0,0,""
16,221,0,0,0,""
16,222,0,0,0,""
16,223,0,0,0,""
16,224,0,0,0,""
16,225,19.58,4.34,20.55,""
16,226,2.76,4.9,0,""
16,227,0.21,0.82,0,""
16,228,5.28,2.84,4.91,""
16,229,6.44,3.01,6.71,""
16,230,1.7,1.91,0.65,""
16,231,0.98,1.66,0,""
16,232,15.19,4.2,15.87,""
16,233,16.14,4.54,16.61,""
16,234,4.07,3.67,4,""
16,235,1.05,1.62,0,""
16,236,0.01,0.09,0,""
16,237,8.3,8.85,5.29,""
16,238,1.28,3.65,0,""
16,239,11.18,2.53,9.74,""
16,240,23.4,NA,23.4,""
16,241,0.48,2.02,0,""
16,242,2.79,6.5,0,""
16,244,0,0,0,""
16,245,0.54,1.24,0,""
16,246,0.16,0.66,0,""
16,247,0,0,0,""
16,248,0,0,0,""
16,249,0,0,0,""
16,250,0,0,0,""
16,251,0.09,0.71,0,""
16,252,0,0,0,""
16,254,0.13,0.64,0,""
16,255,0,0,0,""
16,256,0,0,0,""
16,257,12.54,2.69,13.18,""
16,258,9.13,2.36,8.34,""
