"edon","seccion","mean","sd","median","note"
17,1,13.89,4.2,14.56,""
17,2,15.31,5.66,15.92,""
17,3,17.35,NA,17.35,""
17,4,12.3,2.77,11.93,""
17,5,11.61,1.04,11.8,""
17,6,11.39,1.56,11.71,""
17,7,24,3.38,23.86,""
17,8,31.29,9.48,31.22,""
17,9,9.65,1.94,9.4,""
17,10,8.23,1.46,8.28,""
17,11,5.85,0.91,5.71,""
17,12,41.36,3.67,43.06,""
17,13,44.88,1.55,44.88,""
17,14,42.85,2.82,43.08,""
17,15,46.6,7.14,44.72,""
17,16,21.36,3.25,21.35,""
17,17,31.77,4.91,30.88,""
17,18,42.11,3.6,42.3,""
17,19,27.5,13.62,23.99,""
17,20,52.19,2.08,52.86,""
17,21,45.1,NA,45.1,""
17,22,41.78,0.56,41.88,""
17,23,48.39,0.66,48.39,""
17,24,29.26,10.88,30.13,""
17,25,41.01,NA,41.01,""
17,26,26.44,9.34,26.46,""
17,27,15.1,8.52,13.17,""
17,28,38.84,4.79,40.36,""
17,29,24.2,8.2,22.76,""
17,30,32.08,7.91,29.25,""
17,31,11.15,5.87,9.29,""
17,32,9.47,2.71,8.35,""
17,33,12.73,0.96,12.72,""
17,34,9.48,1.33,9.53,""
17,35,15.56,1.19,15.97,""
17,36,13.85,1.05,13.44,""
17,37,13.82,1.1,13.41,""
17,38,11.1,3.08,10.54,""
17,39,13.93,1.55,13.93,""
17,40,14.4,3.04,13.98,""
17,41,17.94,5.76,16.59,""
17,42,13.68,3.02,13.03,""
17,43,10.13,1.17,10.33,""
17,44,43.86,5.61,44.58,""
17,45,51.15,5.05,51.5,""
17,46,45.71,2.79,45.57,""
17,47,33.6,11.12,30.62,""
17,48,15.56,8.72,12,""
17,49,39.59,3.51,39.43,""
17,50,36.48,2.42,36.26,""
17,51,36.12,NA,36.12,""
17,52,11.52,7.5,8,""
17,53,34.31,0.89,34.31,""
17,54,58.23,0.72,58.23,""
17,55,41.26,11.1,36.59,""
17,56,53.51,5.5,53.65,""
17,57,54.24,4.69,54.33,""
17,58,46.4,4.83,47.22,""
17,59,40.11,7.02,39.04,""
17,60,28.09,1.44,28.59,""
17,61,37.76,5.38,37.81,""
17,62,27.8,3.2,27.73,""
17,63,31.84,4.27,31.67,""
17,64,26.65,6.37,26.63,""
17,65,29.14,2.29,29.29,""
17,66,30.04,3.55,31.53,""
17,67,31.7,3.05,31.7,""
17,68,23.61,4.31,22.97,""
17,69,15.17,2.92,14.33,""
17,70,27.64,NA,27.64,""
17,71,26.02,4.67,27.45,""
17,72,27.25,NA,27.25,""
17,73,15.36,5.22,13.49,""
17,74,20.87,6.05,21.02,""
17,75,18.94,3.63,18.64,""
17,76,13.44,2.76,14.35,""
17,77,11.12,1.25,10.72,""
17,78,8.98,1.56,8.97,""
17,79,11.68,1.59,11.27,""
17,80,8.41,2.13,7.59,""
17,81,11.61,1.33,11.6,""
17,82,15.01,2.1,15.19,""
17,83,8.84,2.8,8.26,""
17,84,7.73,1.8,7.1,""
17,85,6.57,0.65,6.65,""
17,86,41.73,NA,41.73,""
17,87,34.58,7.23,37.6,""
17,88,23.92,8.79,27.26,""
17,89,33.23,5.16,36.29,""
17,90,38.5,2.7,38.5,""
17,91,17.4,10.95,12.68,""
17,92,20.69,5.77,18.84,""
17,93,11.76,0.92,11.7,""
17,94,11.76,0.64,11.88,""
17,95,11.84,1.68,12.24,""
17,96,9.94,1.72,9.21,""
17,97,58.14,2.61,58.14,""
17,98,54.44,NA,54.44,""
17,99,60.63,NA,60.63,""
17,100,61.04,1.15,61.04,""
17,101,56.73,3.59,56.88,""
17,102,61.81,0.19,61.81,""
17,103,59.32,NA,59.32,""
17,104,58.89,NA,58.89,""
17,105,59.11,0.31,59.11,""
17,106,61.08,1.71,61.23,""
17,107,62.97,NA,62.97,""
17,108,61.64,NA,61.64,""
17,109,61.87,0.19,62,""
17,110,61.82,0.25,61.82,""
17,111,62,NA,62,""
17,112,62,NA,62,""
17,113,62,0,62,""
17,114,57.96,5.1,59.91,""
17,115,61.48,1.63,62,""
17,116,62.49,0.69,62.49,""
17,117,62.97,0.01,62.97,""
17,118,61.89,1.52,61.89,""
17,119,62.97,0.01,62.97,""
17,120,62.98,NA,62.98,""
17,121,62.98,NA,62.98,""
17,122,62.98,0,62.98,""
17,123,62.99,0.02,62.99,""
17,124,63,NA,63,""
17,125,52.76,7.18,52.19,""
17,126,63,NA,63,""
17,127,63,0,63,""
17,128,63,NA,63,""
17,129,63,NA,63,""
17,130,61.16,2.05,62.33,""
17,131,63,0,63,""
17,132,63,NA,63,""
17,133,63,0,63,""
17,134,62.78,0.2,62.77,""
17,135,62.64,NA,62.64,""
17,136,61.78,0.7,61.48,""
17,137,62.58,NA,62.58,""
17,138,62.14,0.71,62.08,""
17,139,62.9,NA,62.9,""
17,140,62.97,0.05,62.98,""
17,141,62.98,0.02,62.98,""
17,142,63,NA,63,""
17,143,57.24,4.54,58.76,""
17,144,62.76,0.36,62.94,""
17,145,62.98,0.03,62.98,""
17,146,62.97,NA,62.97,""
17,147,62.48,0.78,62.9,""
17,148,62.24,0.93,62.24,""
17,149,62.03,0.78,62.03,""
17,150,43.07,8.44,43.78,""
17,151,48.54,5.84,47.1,""
17,152,58.46,3.09,58.69,""
17,153,61.48,NA,61.48,""
17,154,61.53,0.07,61.53,""
17,155,61.58,NA,61.58,""
17,156,62.42,0.65,62.56,""
17,157,62.95,0.02,62.95,""
17,158,62.94,NA,62.94,""
17,159,62.32,NA,62.32,""
17,160,62.94,NA,62.94,""
17,161,62.52,0.52,62.58,""
17,162,62.37,0.51,62.23,""
17,163,62.44,0.71,62.44,""
17,164,62.24,0.52,62.13,""
17,165,62.08,0.71,62.04,""
17,166,61.12,0.91,61.12,""
17,167,61.94,NA,61.94,""
17,168,61.85,0.12,61.85,""
17,169,60.81,1.8,61.76,""
17,170,61.94,NA,61.94,""
17,171,59.83,2.98,59.83,""
17,172,58.73,NA,58.73,""
17,173,62.23,NA,62.23,""
17,174,61.9,0.46,61.9,""
17,175,57.38,NA,57.38,""
17,176,59.31,2.58,59.43,""
17,177,38.7,7.8,38.82,""
17,178,57.79,NA,57.79,""
17,179,59.92,2.5,59.86,""
17,180,52.57,6.01,52.86,""
17,181,60.12,1.81,61.16,""
17,182,61.93,0.03,61.93,""
17,183,60.8,NA,60.8,""
17,184,50.44,7.68,51.95,""
17,185,24.87,9.56,24.07,""
17,186,51.09,6.45,53.71,""
17,187,34.82,5.79,36.73,""
17,188,56.96,4.97,56.83,""
17,189,58.47,3.33,58.47,""
17,190,58.7,2.99,58.7,""
17,191,58.1,4.36,58.91,""
17,192,62,NA,62,""
17,193,55.61,6.78,56.33,""
17,194,56.69,7.84,61.54,""
17,195,50.01,10.32,50.25,""
17,196,49.83,7.84,49.83,""
17,197,60.67,1.61,61.03,""
17,198,62.53,0.17,62.53,""
17,199,62.41,NA,62.41,""
17,200,62.41,NA,62.41,""
17,201,62.41,NA,62.41,""
17,202,62,NA,62,""
17,203,62,0,62,""
17,204,62,0,62,""
17,205,62,NA,62,""
17,206,62,NA,62,""
17,207,45.76,14.15,48.68,""
17,208,55.49,9.97,59.47,""
17,210,22.59,14.72,17.02,""
17,211,62.14,0.19,62.07,""
17,212,62.14,0.24,62,""
17,213,62,NA,62,""
17,214,62.21,0.24,62.21,""
