"edon","seccion","mean","sd","median","note"
18,1,44.28,NA,44.28,""
18,2,19.69,11.89,16.77,""
18,3,32.81,2.83,32.81,""
18,4,35,0.27,35,""
18,5,29.74,7.69,29.74,""
18,6,35.18,NA,35.18,""
18,7,41.57,5.55,44.28,""
18,8,44.52,0.48,44.3,""
18,9,44.32,NA,44.32,""
18,10,45.25,NA,45.25,""
18,11,40.22,7.12,40.22,""
18,12,35.18,NA,35.18,""
18,13,30.74,6.28,30.74,""
18,14,40.22,7.12,40.22,""
18,15,38.77,9.16,38.77,""
18,16,32.42,NA,32.42,""
18,17,38.57,7.18,38.37,""
18,18,32.3,NA,32.3,""
18,19,0.55,1.03,0,""
18,20,0.15,0.61,0,""
18,21,1.53,1.46,0.82,""
18,22,0,0,0,""
18,23,3.88,2.05,4.17,""
18,24,5.36,5.63,3.92,""
18,25,1.97,1.48,2.77,""
18,26,0,0,0,""
18,27,0.01,0.11,0,""
18,28,0.27,0.77,0,""
18,29,0,0,0,""
18,30,9.76,5.98,7.62,""
18,31,3.52,5.55,2.27,""
18,32,4.51,1.96,4.09,""
18,33,13.04,6.46,10.34,""
18,34,5.53,1.85,4.99,""
18,35,4.49,1.12,4.01,""
18,36,2.66,1.86,3.23,""
18,37,1.57,1.8,0.44,""
18,38,10.9,NA,10.9,""
18,39,10.14,NA,10.14,""
18,40,7.65,1.51,7.01,""
18,41,5.17,0.45,5,""
18,43,1.88,1.88,2.65,""
18,44,0,0,0,""
18,45,0.36,1.01,0,""
18,46,5.45,1.06,5.93,""
18,47,3.81,2.45,4.92,""
18,48,0.11,0.55,0,""
18,49,8.77,4.9,6.93,""
18,50,14.29,3.77,13.84,""
18,51,21.43,NA,21.43,""
18,52,18.31,NA,18.31,""
18,53,18.21,2.71,18.18,""
18,54,15.07,NA,15.07,""
18,55,9.29,1.08,8.94,""
18,56,8.84,NA,8.84,""
18,57,7.05,1.13,7.78,""
18,58,7,0.53,6.81,""
18,59,1.7,2.06,0.15,""
18,60,2.24,2.11,1.94,""
18,61,2.4,3.67,0,""
18,62,2.64,2.58,2.66,""
18,63,4.52,1.71,4.57,""
18,64,0,0,0,""
18,65,0.17,0.68,0,""
18,66,10.66,NA,10.66,""
18,67,1.22,2.52,0,""
18,68,8.26,NA,8.26,""
18,69,2.27,2.84,0,""
18,70,8.36,1.43,8.55,""
18,71,1.13,1.57,0,""
18,72,3.28,1.54,3.83,""
18,74,1.49,1.77,0,""
18,75,1.52,1.75,0.34,""
18,76,3.67,0.99,3.73,""
18,77,2.14,2.51,0.37,""
18,78,5.93,0.08,5.93,""
18,79,3.51,1.74,3.83,""
18,80,7.91,0.12,7.96,""
18,81,7.77,NA,7.77,""
18,82,6.47,1.13,5.87,""
18,83,5.87,NA,5.87,""
18,84,0,0,0,""
18,86,0,0,0,""
18,87,0.32,0.81,0,""
18,88,1.06,1.51,0,""
18,89,0.24,0.77,0,""
18,91,6.55,NA,6.55,""
18,92,7.55,NA,7.55,""
18,93,1.07,1.5,0,""
18,94,0.24,0.72,0,""
18,95,1.12,1.85,0,""
18,96,1.41,1.81,0.05,""
18,97,2.96,3.22,3.08,""
18,98,1.77,1.93,0.63,""
18,99,12.87,5.05,12.33,""
18,100,19.51,1.64,19.51,""
18,101,17.61,NA,17.61,""
18,102,17.4,1.86,17.21,""
18,103,13.3,NA,13.3,""
18,104,13.77,2.63,13.77,""
18,105,16.44,0.04,16.44,""
18,106,14.64,1.82,14.68,""
18,107,5.05,5.32,4.15,""
18,108,13.47,NA,13.47,""
18,109,0.69,1.19,0,""
18,110,1.09,1.81,0,""
18,111,4.28,5.55,3.19,""
18,112,18.45,6.04,17.66,""
18,113,23.39,8.75,19.55,""
18,114,5.74,3.3,5.97,""
18,115,9.08,4.36,7.99,""
18,116,11.21,7.15,11.21,""
18,117,18.34,2.07,19.33,""
18,118,15.82,4.13,16.16,""
18,119,16.02,1.49,16.21,""
18,120,17.88,2.13,18.71,""
18,121,43.14,2.67,42.62,""
18,122,35.62,9.46,34.51,""
18,123,42.86,6.05,43.73,""
18,124,35.6,3.56,34.94,""
18,125,34.95,3.41,34.95,""
18,126,10.82,NA,10.82,""
18,127,39.08,2.43,39.08,""
18,128,40.8,NA,40.8,""
18,129,34.61,4.45,34.72,""
18,130,37.36,NA,37.36,""
18,131,32.76,5.92,34.85,""
18,132,19.86,8.71,19.86,""
18,133,26.08,NA,26.08,""
18,134,30.46,6.2,30.46,""
18,135,34.85,NA,34.85,""
18,136,34.72,0.18,34.72,""
18,137,5.15,7.45,3.14,""
18,138,4.14,4.36,3.91,""
18,139,1.35,1.89,0,""
18,140,0.89,1.34,0,""
18,141,3.53,4.19,3,""
18,142,4.62,0.42,4.8,""
18,143,4.57,7.84,1.83,""
18,144,2.2,2.37,1.04,""
18,145,1.93,2.1,1.23,""
18,146,0.83,1.35,0,""
18,147,1.76,1.4,1.81,""
18,148,9.65,1.29,9.55,""
18,149,10.53,NA,10.53,""
18,150,9.04,2.11,9.04,""
18,151,3.39,3.2,3.1,""
18,152,9.21,1.15,8.57,""
18,153,0.28,0.8,0,""
18,154,7.66,5.77,5.72,""
