"edon","seccion","mean","sd","median","note"
19,1,13.21,5.49,11.59,""
19,2,23.47,9.9,25.84,""
19,3,0.79,2.53,0,""
19,4,1.01,3.17,0,""
19,5,1.29,3.19,0,""
19,6,12.52,2.6,12.39,""
19,7,3.24,1.37,3.85,""
19,8,0.31,0.83,0,""
19,9,0.79,1.41,0,""
19,10,0.36,1.02,0,""
19,11,0.35,0.96,0,""
19,12,9.68,NA,9.68,""
19,13,0.71,2.14,0,""
19,15,0.59,1.93,0,""
19,16,0.53,1.63,0,""
19,17,9.39,0.86,9.39,""
19,18,3.02,3.46,1.37,""
19,19,0.26,0.79,0,""
19,20,47.58,6.13,49.29,""
19,21,53.8,0.82,53.8,""
19,22,52.35,1.98,52.23,""
19,23,52.23,NA,52.23,""
19,24,50.43,NA,50.43,""
19,25,46.18,NA,46.18,""
19,26,43.07,0.3,43.07,""
19,27,46.47,3.96,46.3,""
19,28,44.77,4.45,44.55,""
19,29,23.02,7.33,23.34,""
19,30,27.79,6.87,31.34,""
19,31,11.18,12.15,5.19,""
19,32,20.9,11.9,16.28,""
19,33,11.7,2.72,10.69,""
19,34,8.59,0.99,8.69,""
19,35,8.47,0.8,8.63,""
19,36,21.54,8.19,18.53,""
19,37,11.61,1.99,10.68,""
19,38,10.14,9.68,5.54,""
19,39,44.08,5.17,46.02,""
19,40,48.22,2.13,48.22,""
19,41,52.26,NA,52.26,""
19,42,49.04,NA,49.04,""
19,43,11.01,15.08,4.24,""
19,44,46.9,5.27,46.72,""
19,45,46.02,NA,46.02,""
19,46,3.63,7.36,0,""
19,47,36.5,NA,36.5,""
19,48,9.1,13.49,1.73,""
19,49,17.26,8.81,17.26,""
19,51,0.56,3.02,0,""
19,52,40.48,NA,40.48,""
19,54,0.2,0.79,0,""
19,55,0,0,0,""
19,56,0,0,0,""
19,57,0.28,1.27,0,""
19,59,0.02,0.14,0,""
19,61,0.3,0.95,0,""
19,62,0.25,0.92,0,""
19,63,55.17,2.37,55.23,""
19,66,60,0,60,""
19,68,60,0,60,""
19,69,60,NA,60,""
19,70,60,0,60,""
19,71,60,0,60,""
19,72,60,0,60,""
19,73,60,0,60,""
19,74,60,NA,60,""
19,75,60,0,60,""
19,76,60,0,60,""
19,78,60,0,60,""
19,79,60,0,60,""
19,80,60,NA,60,""
19,81,60,NA,60,""
19,82,60,0,60,""
19,83,60,NA,60,""
19,84,60,0,60,""
