"edon","seccion","mean","sd","median","note"
20,1,0.47,1.23,0,""
20,2,8.93,2.82,8.45,""
20,3,12.57,0.33,12.71,""
20,4,9.34,0.24,9.32,""
20,5,5.88,2.26,5,""
20,6,11.98,NA,11.98,""
20,7,8,0.62,7.94,""
20,8,8.32,0.19,8.42,""
20,9,11.99,1.93,12.39,""
20,10,14.68,NA,14.68,""
20,11,14.51,0.78,14.54,""
20,12,9.16,1.77,9.18,""
20,13,8.14,1.43,7.99,""
20,14,6.19,0.96,6,""
20,15,6.49,0.56,6.22,""
20,16,8.62,1.2,8.04,""
20,17,8.65,1.17,8.53,""
20,18,5.62,2.62,5.82,""
20,19,11.74,0.65,11.74,""
20,20,8.9,0.96,8.68,""
20,21,7.47,1.71,7.5,""
20,22,4.94,1.65,5,""
20,23,2.74,2.8,2.3,""
20,24,3.44,2,5,""
20,25,2.39,2.24,2.43,""
20,26,4.14,2.58,5.03,""
20,27,8.37,3.13,7.43,""
20,28,7.94,1.2,8.36,""
20,29,3.86,1.93,5,""
20,30,3.01,2.64,2.63,""
20,31,2.28,2.51,1.18,""
20,32,1.1,1.89,0,""
20,33,3.75,2.23,5,""
20,34,6.62,0.39,6.67,""
20,35,43.34,NA,43.34,""
20,36,41.4,0.53,41.4,""
20,37,50.77,6.13,51.63,""
20,38,50.11,6.78,50.23,""
20,39,2.5,2.39,1.97,""
20,40,1.49,1.72,0.96,""
20,41,3.18,2.13,4.66,""
20,42,2.64,2.69,1.62,""
20,43,24.31,2.83,24.31,""
20,44,23.75,NA,23.75,""
20,45,26.24,1.72,25.71,""
20,46,25.1,NA,25.1,""
20,47,8.52,4.56,6.85,""
20,48,21.92,NA,21.92,""
20,49,28.44,0.77,28.65,""
20,50,4.44,2.17,4.72,""
20,51,1.35,2.05,0,""
20,52,5.41,0,5.41,""
20,53,1.1,2.04,0,""
20,54,3.76,1.82,4.77,""
20,55,6.07,1.63,5.86,""
20,56,4.91,3.66,5,""
20,57,17.66,12.07,14.37,""
20,58,31.02,8.32,31.02,""
20,59,5.92,6.89,4.52,""
20,60,4.49,9.45,0,""
20,61,0.87,1.9,0,""
20,62,1.96,3.8,0,""
20,63,0.49,1.14,0,""
20,64,0.05,0.27,0,""
20,65,10.67,1.02,10.6,""
20,66,11.42,0.92,11.65,""
20,67,11.69,0.63,11.63,""
20,68,0.08,NA,0.08,""
20,69,0.12,0.65,0,""
20,70,1.91,3.32,0,""
20,71,8.73,NA,8.73,""
20,72,6.75,1.16,7.1,""
20,73,1.33,1.86,0.69,""
20,74,5.51,0.05,5.51,""
20,75,1.22,2.11,0,""
20,76,0.41,1.19,0,""
20,77,18.96,10.85,14.82,""
20,78,19.22,NA,19.22,""
20,79,33.45,14.98,34.51,""
20,80,21.05,10.47,16.41,""
20,81,1.15,1.75,0,""
20,82,7.39,2.13,7.58,""
20,83,8.68,0.97,8.57,""
20,84,7.78,2.54,6.94,""
20,85,2.39,2.53,1.4,""
20,86,2.2,3.3,0,""
20,87,3.18,1.78,3.08,""
20,88,0.04,0.25,0,""
20,89,0.74,1.25,0,""
20,90,7.22,0.52,7.3,""
20,91,4.9,0.71,4.68,""
20,92,2.26,2.28,2.14,""
20,93,5.31,0.65,5.09,""
20,94,5.17,1.15,5.06,""
20,95,2.15,1.99,1.63,""
20,96,3.56,1.77,4.11,""
20,97,23.34,NA,23.34,""
20,98,23.43,2.87,23.43,""
20,99,27.95,2.93,28.77,""
20,100,20.47,4.77,21.4,""
20,101,19.56,4.3,19.11,""
20,102,9.39,6.78,5.96,""
20,103,7.54,4.05,5.79,""
20,104,9.57,2.86,9.8,""
20,105,2.31,2.95,1.02,""
20,106,4.88,1.99,5.14,""
20,107,7.89,2.39,7.51,""
20,108,4.75,1.46,5,""
