"edon","seccion","mean","sd","median","note"
21,1,9.82,10.4,5.21,""
21,2,31.45,NA,31.45,""
21,3,34.14,NA,34.14,""
21,4,12.72,10.28,8.07,""
21,5,9.93,7.27,6.88,""
21,6,12.19,6.33,11.26,""
21,7,16.9,8.16,15.24,""
21,8,19.5,7.12,20.23,""
21,9,14.16,2.15,13.66,""
21,10,21.15,2.99,20.1,""
21,11,27.41,2.71,27.67,""
21,12,32.17,2.46,31.46,""
21,13,31.4,1.99,31.94,""
21,14,23.72,3.21,24.3,""
21,15,15.19,5.88,15.34,""
21,16,30.62,1.57,30.29,""
21,17,22.54,2.92,22.32,""
21,18,24.58,4.09,26.11,""
21,19,21.96,1.88,22.09,""
21,20,5.35,1.12,5.2,""
21,21,5.85,0.46,5.61,""
21,22,1.94,1.89,1.72,""
21,23,2.29,1.44,2.27,""
21,24,2.74,1.55,3.56,""
21,25,5.08,1.88,4,""
21,26,3.08,1.53,4,""
21,27,3.76,0.79,4,""
21,28,17.71,7.98,15.85,""
21,29,31.56,12.42,31.57,""
21,30,38.64,9.15,38.24,""
21,31,31.26,14.35,31.87,""
21,32,8.76,10.66,5.81,""
21,33,40.32,11.75,42.73,""
21,34,28.83,9.02,25.71,""
21,35,2.54,3.93,0,""
21,36,3.33,3.47,1.94,""
21,37,4.35,4.1,4.72,""
21,38,2.1,2.65,0,""
21,39,3.93,1.94,4,""
21,40,6.16,5.48,4.63,""
21,41,1.55,1.8,0,""
21,42,3.55,1.61,4,""
21,43,2.26,2.2,1.99,""
21,44,0.81,1.59,0,""
21,45,38.77,6.49,38.72,""
21,46,27.62,10.26,29.53,""
21,47,40.55,8.1,40.55,""
21,48,10.7,4.21,9.94,""
21,49,37.75,10.44,38.15,""
21,50,22.33,13.66,15.34,""
21,51,47.02,5.19,49.08,""
21,52,47.56,2.51,47.26,""
21,53,49.16,2.8,47.57,""
21,54,50.26,2.17,51.07,""
21,55,27.45,9.09,24.21,""
21,56,5.89,0.98,6.3,""
21,57,9.3,2.96,8.77,""
21,58,7.3,3.2,7.46,""
21,59,9.7,3.95,10.38,""
21,60,8.7,5.91,6.19,""
21,61,13.08,2.84,13.08,""
21,62,11.35,2.37,11.35,""
21,63,3.54,2.45,3.84,""
21,64,6.44,0.49,6.19,""
21,65,5.06,0.52,5,""
21,66,2.75,1.92,3.63,""
21,67,2.12,1.61,2.1,""
21,68,4.36,0.46,4.02,""
21,69,4.82,1.05,4.97,""
21,70,4.03,0.27,4,""
21,71,1.28,1.86,0,""
21,72,1.51,2.09,0.11,""
21,73,2.35,1.86,2.45,""
21,74,0.58,1.14,0,""
21,75,10.16,1.45,10.14,""
21,76,7.97,2.45,7.68,""
21,77,7.45,4.02,8.41,""
21,78,6.09,1.27,6.22,""
21,79,5.35,3.54,4.61,""
21,80,11.67,8.46,10.15,""
21,81,36.47,NA,36.47,""
21,82,46.23,NA,46.23,""
21,83,24.6,12.63,23.3,""
21,84,39.18,6.33,39.52,""
21,85,47.89,NA,47.89,""
21,86,30.36,11.07,30.23,""
21,87,0.17,0.48,0,""
21,88,0,0,0,""
21,89,0,0,0,""
21,90,0.6,1.39,0,""
21,91,1.52,1.72,0.87,""
21,92,0.44,1.1,0,""
21,93,0,0,0,""
21,94,0.27,0.84,0,""
21,95,2.11,1.7,2.25,""
21,96,2.36,2.18,2.24,""
21,97,3.7,1.61,4.44,""
21,98,2.02,1.88,1.74,""
21,99,8.24,2.92,8.11,""
21,100,8.88,8.7,5.08,""
21,101,3.86,1.11,4.27,""
21,102,2.1,2.64,0.65,""
21,103,9.4,5.22,8.86,""
21,104,10.42,6.21,7.91,""
21,105,11.07,2.35,10.99,""
21,106,5.06,0.29,5,""
21,107,37.09,6.74,37.09,""
21,108,41.15,0.3,41.15,""
21,109,30.1,5.81,30.1,""
21,110,24.14,10.82,22.17,""
21,111,13.22,10.23,8.66,""
21,112,20.59,8.43,19.84,""
21,113,5.12,0.8,5.09,""
21,114,6.93,0.1,6.93,""
21,115,4.28,0.98,4.29,""
21,116,39.33,9.89,44.45,""
21,117,11.09,8.32,7.58,""
21,118,50.69,NA,50.69,""
21,119,53.88,3.17,54,""
21,120,56.6,0.31,56.6,""
21,121,34.95,13.56,31.8,""
21,122,45.91,6.28,44.58,""
21,123,30.52,15.89,37.88,""
21,124,45.19,2.02,45.19,""
21,125,50.47,3.62,50.97,""
21,126,55.99,3.07,55.99,""
21,127,56.17,2.14,56.5,""
21,128,59.17,1.45,59.17,""
21,129,25.14,16.26,17.22,""
21,130,18.45,13.11,15.87,""
21,131,51.63,NA,51.63,""
21,132,15.1,8.81,12.51,""
21,133,13.15,4.65,12.22,""
21,134,2.99,1.97,3.88,""
21,135,2.68,1.52,2.56,""
21,136,2.01,2.09,1.06,""
21,137,2.17,1.88,1.73,""
21,138,0.66,1.34,0,""
21,139,20.88,8.71,20.25,""
21,140,20.69,6.46,22.72,""
21,141,28.22,NA,28.22,""
21,142,4,0,4,""
21,143,11.8,3.56,10.42,""
21,144,14.49,5.21,12.52,""
21,145,9.76,4.11,8.17,""
21,146,10.88,3.02,9.62,""
