"edon","seccion","mean","sd","median","note"
23,1,59,NA,59,""
23,4,59,NA,59,""
23,5,58.74,0.46,58.95,""
23,6,58.98,0.02,58.98,""
23,7,58.99,0.02,59,""
23,8,59,0,59,""
23,9,59,0,59,""
23,10,59,0,59,""
23,13,59,0,59,""
23,14,58.98,0.05,59,""
23,15,59,NA,59,""
23,16,59,NA,59,""
23,18,59,0,59,""
23,19,59,0,59,""
23,20,59,0,59,""
23,21,59,NA,59,""
23,22,59,0,59,""
23,23,59,0,59,""
23,24,59,0,59,""
23,25,59,0,59,""
23,26,59,NA,59,""
23,27,59,NA,59,""
23,28,59,0,59,""
23,29,59,0,59,""
23,30,59,0,59,""
23,31,59,NA,59,""
23,32,59,0,59,""
23,33,59,NA,59,""
23,34,59,NA,59,""
23,35,59,NA,59,""
23,36,58.99,0.02,59,""
23,37,59,0,59,""
23,38,59,0,59,""
23,39,59,NA,59,""
23,40,59,0,59,""
23,41,59,0,59,""
23,42,59,0,59,""
23,43,59,0,59,""
23,44,59,0,59,""
23,45,59,NA,59,""
23,46,59,0,59,""
23,47,59,0,59,""
23,48,59,0,59,""
23,49,58.77,0.27,58.82,""
23,50,59,0,59,""
23,51,59,NA,59,""
23,52,59,NA,59,""
23,53,59,0,59,""
23,54,59,0,59,""
23,55,59,NA,59,""
23,56,59,0,59,""
23,57,59,0,59,""
23,58,59,0,59,""
23,59,59,NA,59,""
23,60,59,0,59,""
23,61,59,0,59,""
23,62,59,0,59,""
23,63,59,0,59,""
23,64,59,0,59,""
23,65,59,NA,59,""
23,66,59,0,59,""
23,67,59,0,59,""
23,68,59,0,59,""
23,69,59,NA,59,""
23,70,59,NA,59,""
23,71,59,0,59,""
23,72,59,0,59,""
23,73,59,0,59,""
23,74,59,0,59,""
23,75,59,0,59,""
23,76,59,0,59,""
23,77,59,NA,59,""
23,78,59,0,59,""
23,79,59,NA,59,""
23,80,59,0,59,""
23,81,59,0,59,""
23,82,59,NA,59,""
23,83,59,0,59,""
23,84,59,0,59,""
23,85,59,0,59,""
23,86,59,0,59,""
23,87,59,0,59,""
23,88,59,0,59,""
23,89,59,0,59,""
23,90,59,NA,59,""
23,91,58.55,0.63,58.55,""
23,92,57.29,1.84,58.05,""
23,93,58.78,0.45,59,""
23,94,59,0,59,""
23,95,59,0,59,""
23,96,59,0,59,""
23,97,59,NA,59,""
23,98,59,0,59,""
23,99,59,0,59,""
23,100,59,0,59,""
23,101,59,0,59,""
23,102,59,NA,59,""
23,103,59,0,59,""
23,104,59,NA,59,""
23,105,59,0,59,""
23,106,59,0,59,""
23,107,59,0,59,""
23,108,59,0,59,""
23,109,59,NA,59,""
23,110,59,0,59,""
23,111,59,0,59,""
23,112,59,0,59,""
23,113,59,0,59,""
23,114,59,0,59,""
23,115,59,NA,59,""
23,116,59,0,59,""
23,117,59,NA,59,""
23,118,59,0,59,""
23,119,59,0,59,""
23,120,59,NA,59,""
23,121,59,0,59,""
23,122,59,NA,59,""
23,123,59,0,59,""
23,124,59,0,59,""
23,125,59,0,59,""
23,126,59,NA,59,""
23,127,59,0,59,""
23,128,59,0,59,""
23,129,59,NA,59,""
23,130,59,0,59,""
23,131,59,0,59,""
23,132,59,NA,59,""
23,133,59,0,59,""
23,134,59,0,59,""
23,135,59,NA,59,""
23,136,59,NA,59,""
23,137,58.99,0.03,59,""
23,138,59,0,59,""
23,139,59,NA,59,""
23,140,59,0,59,""
23,141,59,NA,59,""
23,142,59,NA,59,""
23,143,59,0,59,""
23,144,58.6,0.61,58.85,""
23,145,58.88,0.17,58.88,""
23,146,57.98,1.69,58.92,""
23,147,59,NA,59,""
23,148,59,NA,59,""
23,149,59,0.01,59,""
23,151,58.64,0.67,58.93,""
23,152,58.94,0.09,58.94,""
23,153,58.91,0.11,58.94,""
23,155,58.87,NA,58.87,""
23,156,58.99,0.01,58.99,""
23,157,58.99,NA,58.99,""
23,158,59,0.01,59,""
23,159,59,0,59,""
23,161,58.76,NA,58.76,""
23,162,58.88,0.17,58.88,""
23,163,59,0,59,""
23,164,58.09,1.12,58.09,""
23,165,58.99,NA,58.99,""
23,166,58.92,0.15,58.99,""
23,167,59,NA,59,""
23,168,57.38,3.02,58.84,""
23,169,51.59,8.85,56.39,""
23,170,48.55,12.34,52.91,""
23,171,1.95,2.03,2.61,""
23,172,5.1,4.06,4,""
23,173,56.47,NA,56.47,""
23,174,55.7,2.47,56.5,""
23,175,38.08,14.75,39.48,""
23,177,1.64,4.1,0,""
23,178,1.7,3.63,0,""
23,179,4.23,9.29,0,""
23,180,7.64,10.48,3,""
23,181,59,NA,59,""
23,182,19.91,17.32,11.76,""
23,183,58.53,NA,58.53,""
23,184,57,0.35,57,""
23,185,56.75,NA,56.75,""
23,186,2.83,7.03,0.32,""
23,187,51.97,4.13,52.13,""
23,188,54.96,2.53,54.96,""
23,189,55.22,1.84,55.73,""
23,190,57.01,1.42,56.75,""
23,191,NA,NA,NA,""
23,192,26.49,14.37,27.78,""
23,193,57.35,1.38,57.57,""
23,194,55.81,2.68,55.73,""
23,195,5.22,8.95,3,""
23,196,55.73,NA,55.73,""
23,197,56.96,1.39,56.66,""
23,198,NA,NA,NA,""
23,199,4.33,7.87,0.64,""
23,200,54.65,2.84,54.65,""
23,201,54.35,NA,54.35,""
23,202,56.03,1.18,56.38,""
23,203,40.83,11.01,42.02,""
23,206,57.05,2.76,57.05,""
23,208,7.79,9.02,4,""
23,210,1.05,2.19,0,""
23,211,0.43,1.22,0,""
23,213,0.42,1.68,0,""
23,214,0.52,1.47,0,""
23,215,49.84,1.78,49.84,""
23,216,3.97,10.47,0,""
23,217,0.5,3.14,0,""
23,218,47.89,3.04,48.02,""
23,219,10.6,11.62,4.48,""
23,220,46.39,NA,46.39,""
23,221,45.4,1.39,45.4,""
23,222,44.42,NA,44.42,""
23,223,32.43,8.07,32.43,""
23,224,1.19,3.32,0,""
23,225,31.67,12.33,31.74,""
23,226,30.76,2.37,30.76,""
23,227,0.91,2.28,0,""
23,228,0.41,1.65,0,""
23,229,0.59,1.5,0,""
23,230,0.2,0.75,0,""
23,231,0.02,0.26,0,""
23,232,0.42,1.15,0,""
23,233,0.4,1.02,0,""
23,234,0.91,1.89,0,""
23,235,0.3,1.22,0,""
23,236,0,0,0,""
23,237,0.44,1.11,0,""
23,238,0.48,1.31,0,""
23,239,1.3,2.17,0,""
23,240,2.29,1.81,2.44,""
23,241,7.12,4.43,7.26,""
23,242,1.1,2.7,0,""
23,243,0.49,1.23,0,""
23,244,0.61,1.31,0,""
23,245,0.17,0.75,0,""
23,247,0.31,1.01,0,""
23,248,0.06,0.41,0,""
23,249,0.33,1.28,0,""
23,250,1,1.48,0,""
23,251,0.82,1.55,0,""
23,252,35.21,NA,35.21,""
23,253,42.06,NA,42.06,""
23,254,NA,NA,NA,""
23,255,NA,NA,NA,""
23,256,41.47,NA,41.47,""
23,257,36.28,NA,36.28,""
23,258,34.03,NA,34.03,""
23,259,25.96,NA,25.96,""
23,260,1.06,5.96,0,""
23,261,6.18,10.99,3,""
23,262,13.87,9.08,10.16,""
23,263,5.23,5.71,3.45,""
23,264,25.13,NA,25.13,""
23,265,0.67,2.43,0,""
23,266,1.38,1.64,0.34,""
23,267,0.36,0.88,0,""
23,268,3.3,3.28,3.28,""
23,269,0.41,1.08,0,""
23,270,7.17,3.28,6.85,""
23,271,4.3,2.75,4.3,""
23,272,0.09,0.48,0,""
23,273,1.82,2.45,0.2,""
23,274,1.63,2.28,0.37,""
23,275,0.94,1.52,0,""
23,276,1.63,2.66,0.04,""
23,277,1.21,1.38,0.59,""
23,278,0.22,0.75,0,""
23,279,0.08,0.46,0,""
23,280,0.33,0.87,0,""
23,281,0.09,0.52,0,""
23,282,0.14,0.67,0,""
23,283,0.03,0.26,0,""
23,284,0.68,3.16,0,""
23,285,0.65,2.96,0,""
23,286,2.66,4.96,0,""
23,287,1.14,3.38,0,""
23,288,0.32,1.14,0,""
23,289,0.48,1.3,0,""
23,290,1.6,2.04,0.24,""
23,291,1.89,2.1,1.05,""
23,292,2.75,2.81,2.96,""
23,293,5.43,3.11,4.14,""
23,294,1.01,1.71,0,""
23,295,0.51,1.15,0,""
23,296,0.35,1.05,0,""
23,297,0.37,1.05,0,""
23,298,55.62,NA,55.62,""
23,299,50.62,3.82,51.1,""
23,300,48.54,7.45,48.54,""
23,301,45.04,NA,45.04,""
23,302,53.22,NA,53.22,""
23,303,57.58,NA,57.58,""
23,304,56.6,1.39,56.6,""
23,305,57.59,1.42,57.91,""
23,306,58.24,0.95,58.24,""
23,307,59,NA,59,""
23,308,54.94,2.64,55.07,""
23,309,50.42,4.28,51.84,""
23,310,51.84,NA,51.84,""
23,311,54.08,3.17,54.08,""
23,312,55.32,3.1,56.33,""
23,313,57.06,1.04,57.06,""
23,314,56.33,NA,56.33,""
23,315,58.15,NA,58.15,""
23,317,59,NA,59,""
23,318,58.55,0.58,58.81,""
23,319,58.91,NA,58.91,""
23,320,58.58,0.47,58.58,""
23,321,56.36,NA,56.36,""
23,322,56.36,NA,56.36,""
23,323,58.91,NA,58.91,""
23,324,44.44,5.95,45.61,""
23,325,51.99,4.13,52.58,""
23,326,54.83,2.12,54.83,""
23,327,56.01,2,56.28,""
23,328,57.2,1.35,57.2,""
23,329,57.84,1.16,58.07,""
23,330,58.49,0.72,58.49,""
23,331,58.61,0.49,58.72,""
23,332,58.67,0.33,58.68,""
23,333,58.2,0.66,58.29,""
23,334,58.24,NA,58.24,""
23,335,56.44,1.9,56.84,""
23,336,55.1,1.78,55.1,""
23,337,17.69,16.78,7.89,""
23,338,53.84,NA,53.84,""
23,339,55.58,2.46,55.58,""
23,340,57.32,NA,57.32,""
23,341,57.32,NA,57.32,""
23,342,57.83,0.72,57.83,""
23,343,58.72,0.39,58.72,""
23,344,57.11,1.23,57.11,""
23,345,56.24,NA,56.24,""
23,346,56.24,NA,56.24,""
23,347,55.3,1.71,56.24,""
23,348,54.83,2.12,54.83,""
23,349,53.33,NA,53.33,""
23,350,49.37,3.55,48.33,""
23,351,48.33,NA,48.33,""
23,352,50.83,3.53,50.83,""
23,353,52.71,3.27,53.14,""
23,354,54.17,1.8,53.33,""
23,355,57.11,1.23,57.11,""
23,356,57.98,NA,57.98,""
23,357,58.44,NA,58.44,""
23,358,58.44,NA,58.44,""
23,359,58.39,0.07,58.39,""
23,360,58.34,NA,58.34,""
23,361,57.83,0.72,57.83,""
23,362,55.58,2.46,55.58,""
23,363,57.83,0.72,57.83,""
23,364,56.21,2.59,56.56,""
23,365,56.47,2.02,56.38,""
23,366,55.81,1.88,54.78,""
23,367,56.33,2.34,56.33,""
23,368,55.46,2.15,55.45,""
23,369,54.6,2.32,54.6,""
23,370,50.64,3.27,50.64,""
23,371,50.64,3.27,50.64,""
23,372,52.95,NA,52.95,""
23,374,53.81,1.21,53.81,""
23,375,54.67,NA,54.67,""
23,377,52.74,2.36,53.29,""
23,378,30.08,12.72,31.13,""
23,379,47.14,NA,47.14,""
23,380,47.32,NA,47.32,""
23,381,49,5.6,49,""
23,382,46.62,5.39,46.68,""
23,383,45.04,NA,45.04,""
23,384,0.08,0.48,0,""
23,385,0.18,0.7,0,""
23,386,3.04,1.66,3.6,""
23,387,0.14,0.56,0,""
23,388,0.99,1.57,0,""
23,389,0.52,1.26,0,""
23,390,0.77,1.45,0,""
23,391,1.3,1.76,0,""
23,392,0.25,1.08,0,""
23,393,0.22,1.3,0,""
23,394,0.73,1.32,0,""
23,395,0.8,1.42,0,""
23,396,0.47,1.12,0,""
23,397,0.46,1.11,0,""
23,398,0.25,0.71,0,""
23,399,0.04,0.27,0,""
23,400,0.16,0.65,0,""
23,401,0.29,0.91,0,""
23,402,0.21,0.66,0,""
23,403,0.49,1.02,0,""
23,404,0.2,0.78,0,""
23,405,33.13,0.68,33.35,""
23,406,1.87,4.93,0,""
23,407,2.41,5.5,0,""
23,408,16.71,8.49,16.6,""
23,409,3.35,4.04,3.16,""
23,410,0.13,0.92,0,""
23,411,1.6,1.73,0.53,""
23,412,0.96,2.15,0,""
23,413,3.14,3.64,2.62,""
23,414,0.47,1.27,0,""
23,415,0.36,1.03,0,""
23,416,0.06,0.36,0,""
23,417,0.45,1.17,0,""
23,418,0.29,1.42,0,""
23,419,2.59,3.31,0.81,""
23,420,1.41,1.9,0,""
23,421,5.42,3.63,7,""
23,422,10.62,1.67,10.49,""
23,423,7.48,2.33,7.51,""
23,424,9.39,6.59,6.63,""
23,425,11.99,9.05,8.51,""
23,426,0.62,3.47,0,""
23,427,29.46,NA,29.46,""
23,428,15.46,14.35,8.48,""
23,429,6.26,1.94,6.56,""
23,430,4.29,2.17,5.05,""
23,431,5.62,1.98,5.58,""
23,432,7.65,3.76,6.1,""
23,433,7.5,2.72,7.24,""
23,434,4.5,0.53,4.37,""
23,435,3.26,4.07,2.24,""
23,436,7.44,3.49,5.74,""
23,437,16.02,1.65,15.72,""
23,438,6.12,1.83,6.17,""
23,439,1.97,2.85,0,""
23,440,1.04,1.82,0,""
23,441,1.34,2.09,0,""
23,442,0.13,0.57,0,""
23,443,0.44,1.14,0,""
23,444,0.15,0.63,0,""
23,445,0.3,0.84,0,""
23,446,0.29,0.98,0,""
23,447,0.41,1,0,""
23,448,10.57,0.54,10.33,""
23,450,0.06,0.37,0,""
23,451,58.99,NA,58.99,""
23,452,58.98,0.04,59,""
23,453,59,0,59,""
23,454,59,0.01,59,""
23,455,59,0,59,""
23,456,59,0,59,""
23,457,59,NA,59,""
23,458,59,0,59,""
23,459,59,NA,59,""
23,460,59,0,59,""
23,461,59,NA,59,""
23,462,59,0,59,""
23,463,59,0,59,""
23,464,59,0,59,""
23,465,59,0,59,""
23,466,59,0,59,""
23,467,59,0,59,""
23,468,59,0,59,""
23,469,59,NA,59,""
23,470,59,NA,59,""
23,471,59,0,59,""
23,472,58.75,0.29,58.77,""
23,473,59,NA,59,""
23,474,58.52,0.65,58.75,""
23,475,59,NA,59,""
23,476,59,NA,59,""
23,477,59,0.01,59,""
23,478,59,0,59,""
23,479,59,0,59,""
23,480,58.99,0.03,59,""
23,481,59,0,59,""
23,482,59,0,59,""
23,483,59,NA,59,""
23,484,59,0,59,""
23,485,59,0,59,""
23,486,59,0,59,""
23,487,59,0,59,""
23,488,59,0,59,""
23,489,59,0,59,""
23,490,59,0,59,""
23,491,53.65,5.59,53.65,""
23,492,53.24,NA,53.24,""
23,493,56.43,NA,56.43,""
23,494,58.63,NA,58.63,""
23,495,57.36,1.79,57.36,""
23,496,57.89,1.55,58.63,""
23,497,57.89,1.55,58.63,""
23,498,58.93,NA,58.93,""
23,499,58.85,0.19,58.93,""
23,500,58.81,0.26,58.81,""
23,501,58.81,0.26,58.81,""
23,502,58.89,0.14,58.89,""
23,503,57.61,1.67,57.61,""
23,504,58.79,NA,58.79,""
23,505,58.79,NA,58.79,""
23,506,58.79,NA,58.79,""
23,507,58.89,0.14,58.89,""
23,508,58.99,NA,58.99,""
23,509,58.99,NA,58.99,""
23,510,58.97,0.04,58.99,""
23,511,58.99,NA,58.99,""
23,512,58.95,0.1,58.99,""
23,513,58.9,0.14,58.9,""
23,514,58.9,0.14,58.9,""
23,515,58.9,0.14,58.9,""
23,516,58.87,0.18,58.87,""
23,517,58.75,NA,58.75,""
23,518,58.75,NA,58.75,""
23,519,58.88,0.18,58.88,""
23,520,58.87,0.18,58.87,""
23,521,59,NA,59,""
23,522,59,0,59,""
23,523,59,0.01,59,""
23,524,59,0,59,""
23,525,59,0.01,59,""
23,526,59,NA,59,""
23,527,59,NA,59,""
23,528,59,0,59,""
23,529,59,0,59,""
23,530,59,0,59,""
23,531,59,0,59,""
23,532,59,0,59,""
23,533,59,NA,59,""
23,534,59,0,59,""
23,535,59,NA,59,""
23,536,59,0,59,""
23,537,58.92,0.14,59,""
23,538,58.92,0.14,59,""
23,539,59,0,59,""
23,540,59,0,59,""
23,541,59,NA,59,""
23,542,59,NA,59,""
23,543,59,NA,59,""
23,544,59,0,59,""
23,545,59,0,59,""
23,546,59,0,59,""
23,547,59,0,59,""
23,548,59,NA,59,""
23,549,59,0,59,""
23,550,59,0,59,""
23,551,59,NA,59,""
23,552,59,0,59,""
23,553,59,0,59,""
23,554,59,NA,59,""
23,555,59,0,59,""
23,556,59,0,59,""
23,557,59,0,59,""
23,558,59,0,59,""
23,559,59,NA,59,""
23,560,59,NA,59,""
23,561,59,0,59,""
23,562,59,0,59,""
23,563,59,0,59,""
23,564,59,0,59,""
23,565,59,0,59,""
23,566,59,0,59,""
23,567,59,NA,59,""
23,568,59,0,59,""
23,569,59,0,59,""
23,570,59,0,59,""
23,571,59,0,59,""
23,572,59,0,59,""
23,573,59,0,59,""
23,574,59,NA,59,""
23,575,59,NA,59,""
23,576,59,NA,59,""
23,577,59,NA,59,""
23,578,31.22,17.09,31.46,""
23,579,58.39,0.09,58.39,""
23,580,58.39,0.09,58.39,""
23,581,58.39,0.09,58.39,""
23,582,58.39,0.09,58.39,""
23,583,58.32,NA,58.32,""
23,584,58.32,NA,58.32,""
23,585,58.32,NA,58.32,""
23,586,58.32,NA,58.32,""
23,587,58.32,NA,58.32,""
23,588,58.32,NA,58.32,""
23,589,58.32,NA,58.32,""
23,590,58.32,NA,58.32,""
23,591,30.06,16.6,28.35,""
23,592,56.77,2.8,58.32,""
23,593,58.39,0.09,58.39,""
23,594,58.45,NA,58.45,""
23,595,58.45,NA,58.45,""
23,596,58.45,NA,58.45,""
23,597,58.45,NA,58.45,""
23,598,58.54,0.13,58.54,""
23,599,58.45,NA,58.45,""
23,600,58.7,0.28,58.64,""
23,601,58.8,0.19,58.76,""
23,602,58.85,0.18,58.88,""
23,603,58.7,0.09,58.7,""
23,604,58.88,0.12,58.87,""
23,605,58.87,NA,58.87,""
23,606,58.87,NA,58.87,""
23,607,58.82,0.08,58.82,""
23,608,58.82,0.08,58.82,""
23,609,58.76,NA,58.76,""
23,610,58.76,NA,58.76,""
23,611,58.76,NA,58.76,""
23,612,58.76,NA,58.76,""
23,613,58.76,NA,58.76,""
23,614,58.7,0.09,58.7,""
23,615,58.7,0.09,58.7,""
23,616,58.64,NA,58.64,""
23,617,58.64,NA,58.64,""
23,618,56.52,3,56.52,""
23,619,52.86,NA,52.86,""
23,620,54.86,1.89,54.86,""
23,621,56.95,2.13,57.31,""
23,622,57.37,1.96,57.37,""
23,623,57.35,1.39,57.3,""
23,624,57.73,1.37,58.03,""
23,625,57.3,NA,57.3,""
23,626,45.06,8.76,48.06,""
23,627,52.32,5.19,52.32,""
23,628,54.4,NA,54.4,""
23,629,31.04,11.15,30.75,""
23,630,24.47,12.83,22.88,""
23,631,22.09,13.31,18.2,""
23,632,34.91,12.98,36.06,""
23,633,44.39,2.16,44.39,""
23,634,34.9,6.63,37.05,""
23,635,34.21,7.04,36.33,""
23,636,16.47,10.63,10.97,""
23,637,25.14,5.1,27.47,""
23,638,28.66,NA,28.66,""
23,639,19.89,10.38,18.89,""
23,640,12,4.54,11.99,""
23,641,12.18,4.84,10.45,""
23,642,58.76,0.43,58.96,""
23,643,59,0,59,""
23,644,59,NA,59,""
23,645,59,NA,59,""
23,646,59,NA,59,""
23,647,59,NA,59,""
23,648,59,0,59,""
23,649,58.56,0.63,58.56,""
23,650,58.56,0.63,58.56,""
23,651,59,0,59,""
23,652,59,0,59,""
23,653,59,0.01,59,""
23,654,59,NA,59,""
23,655,59,0,59,""
23,656,59,NA,59,""
23,657,58.71,0.51,59,""
23,658,59,0,59,""
23,659,59,0,59,""
23,660,58.53,0.55,58.56,""
23,661,56.73,2.3,57.99,""
23,662,57.99,NA,57.99,""
23,663,59,NA,59,""
23,664,59,NA,59,""
23,665,57.4,0.85,57.4,""
23,666,57.4,0.85,57.4,""
23,667,56.8,NA,56.8,""
23,668,57.62,NA,57.62,""
23,669,57.13,1.12,57.13,""
23,670,57.92,NA,57.92,""
23,671,57.13,1.12,57.13,""
23,672,57.92,NA,57.92,""
23,673,58.02,0.63,57.77,""
23,674,51.59,5.81,53.84,""
