"edon","seccion","mean","sd","median","note"
24,1,25.76,3.46,25.76,""
24,2,23.71,NA,23.71,""
24,3,1.87,1.73,1.79,""
24,4,0.48,1.17,0,""
24,5,0.5,1.06,0,""
24,6,4.65,1.87,4.61,""
24,7,3.45,4.09,2.72,""
24,8,3.02,3.43,1.59,""
24,9,19.23,5.15,19,""
24,10,0.1,0.55,0,""
24,11,0.95,1.64,0,""
24,12,13.74,5.34,12.44,""
24,13,9.02,6.95,7.5,""
24,14,4.21,1.81,4.21,""
24,15,2.24,2.07,2.34,""
24,16,3.21,1.76,3.85,""
24,17,3.41,1.44,4,""
24,18,5.29,NA,5.29,""
24,19,0,0,0,""
24,20,0.12,0.54,0,""
24,21,0,0,0,""
24,22,0.64,1.24,0,""
24,23,1.58,1.68,1.19,""
24,24,0,0,0,""
24,25,1.96,1.82,1.3,""
24,26,2.74,1.42,3.06,""
24,27,1.68,1.23,1.54,""
24,28,1.25,1.64,0,""
24,29,1.9,1.61,2.34,""
24,30,3.47,0.39,3.5,""
24,31,0.21,0.6,0,""
24,32,0.3,0.85,0,""
24,33,0.83,1.71,0,""
24,34,6.13,1.49,5.92,""
24,35,6.94,1.57,7.36,""
24,36,3.15,1.95,3.97,""
24,37,2.54,1.72,3.67,""
24,38,0.86,1.52,0,""
24,39,0.69,1.39,0,""
24,40,0.08,0.36,0,""
24,41,0.27,0.73,0,""
24,42,0.36,0.86,0,""
24,43,3.56,0.81,4,""
24,44,3.7,0.95,4,""
24,45,5.26,1.36,4.78,""
24,46,1.02,1.54,0,""
24,47,3.4,1.49,4,""
24,48,8.5,0.63,8.83,""
24,49,4,0,4,""
24,50,2.68,1.41,3.41,""
24,51,3.3,1.15,3.96,""
24,52,4.78,1,4.35,""
24,53,1.76,1.89,0.95,""
24,54,0.67,1.23,0,""
24,55,3.85,0.34,4,""
24,56,4.45,0.45,4.34,""
24,57,1.74,1.89,0.95,""
24,58,2.73,1.76,3.21,""
24,59,9,NA,9,""
24,60,3.71,0.41,3.71,""
24,61,0,0,0,""
24,63,0,0.01,0,""
24,64,0.8,1.24,0,""
24,65,0.95,1.44,0,""
24,68,4.53,1.47,4.09,""
24,69,1.73,1.49,1.67,""
24,70,1.4,1.67,0.67,""
24,71,2.13,1.42,2.15,""
24,72,1.02,1.35,0,""
24,73,0.14,0.46,0,""
24,77,2.99,1.83,3.72,""
24,78,35.36,NA,35.36,""
24,79,33.85,NA,33.85,""
24,80,33.64,NA,33.64,""
24,81,26.62,4.63,26.21,""
24,82,29.5,5.86,29.5,""
24,83,31.4,5.3,33.64,""
24,84,35.21,NA,35.21,""
24,85,2.19,5.53,0,""
24,86,26.42,NA,26.42,""
24,87,29,5.41,26.42,""
24,88,18.07,4.94,16.41,""
24,89,25.35,NA,25.35,""
24,90,17.1,NA,17.1,""
24,91,7.58,7.11,4.63,""
24,92,2.85,1.23,3.07,""
24,93,4.21,2.04,4.71,""
24,94,4.62,0.07,4.62,""
24,95,4.01,4.63,3.08,""
24,96,2.32,4.91,0,""
24,97,2.28,1.85,3.35,""
24,98,3.18,2.78,3.18,""
24,99,0,0,0,""
24,101,0.35,1.02,0,""
24,102,0.09,0.53,0,""
24,103,0,0,0,""
24,105,0,0,0,""
24,106,1.49,2.66,0,""
24,107,2.76,2.4,3.11,""
