"edon","seccion","mean","sd","median","note"
25,2,60.93,0.79,60.93,""
25,3,60.9,0.56,60.83,""
25,4,61.49,NA,61.49,""
25,5,61.7,0.3,61.7,""
25,6,61.41,0.55,61.49,""
25,7,61.41,0.55,61.49,""
25,8,61.49,NA,61.49,""
25,9,61.97,0.42,61.94,""
25,10,61.98,0.52,61.92,""
25,11,61.92,NA,61.92,""
25,12,61.92,NA,61.92,""
25,13,61.92,NA,61.92,""
25,14,61.19,0.63,60.83,""
25,15,61.92,NA,61.92,""
25,16,61.92,NA,61.92,""
25,17,62.22,0.43,62.22,""
25,18,61.92,NA,61.92,""
25,19,62.52,NA,62.52,""
25,20,62.49,0.41,62.52,""
25,21,62.77,0.28,62.95,""
25,22,62.41,NA,62.41,""
25,23,62.16,0.35,62.16,""
25,26,61.91,0.42,61.93,""
25,27,62.44,0.5,62.41,""
25,28,62.96,NA,62.96,""
25,29,62.96,NA,62.96,""
25,30,62.97,0.02,62.96,""
25,31,62.98,0.02,62.98,""
25,32,62.95,NA,62.95,""
25,33,62.44,0.5,62.42,""
25,34,61.95,NA,61.95,""
25,35,60.57,1.21,60.38,""
25,36,61.95,NA,61.95,""
25,37,61.95,NA,61.95,""
25,38,62.18,0.33,62.18,""
25,40,61.93,0.42,61.95,""
25,41,62.42,NA,62.42,""
25,42,62.19,0.33,62.19,""
25,44,62.19,0.33,62.19,""
25,45,62.42,NA,62.42,""
25,46,62.42,NA,62.42,""
25,47,62.43,0.03,62.43,""
25,48,62.43,0.03,62.43,""
25,50,63,NA,63,""
25,51,63,0,63,""
25,52,62.74,0.36,62.74,""
25,53,62.74,0.36,62.74,""
25,54,62.45,NA,62.45,""
25,55,62.43,0.03,62.43,""
25,56,62.19,0.33,62.19,""
25,57,62.27,0.28,62.42,""
25,58,62.14,0.28,62,""
25,59,61.98,0.03,61.98,""
25,60,62,NA,62,""
25,61,62.23,0.32,62.23,""
25,62,62.23,0.32,62.23,""
25,63,62.25,0.29,62.25,""
25,64,62.5,0.48,62.45,""
25,65,62.51,0.48,62.49,""
25,66,62.49,NA,62.49,""
25,67,62.49,NA,62.49,""
25,68,62.49,NA,62.49,""
25,69,62.49,NA,62.49,""
25,70,62.26,0.32,62.26,""
25,71,62.26,0.32,62.26,""
25,72,62.04,NA,62.04,""
25,73,62.25,0.29,62.25,""
25,74,62,0.47,62.04,""
25,75,62.23,0.32,62.23,""
25,76,61.99,0.47,62,""
25,77,62,NA,62,""
25,78,62,NA,62,""
25,79,62,NA,62,""
25,80,61.96,NA,61.96,""
25,82,53.66,NA,53.66,""
25,85,61.62,0.33,61.47,""
25,88,61.53,0.5,61.51,""
25,89,61.35,0.27,61.5,""
25,90,61.27,0.33,61.27,""
25,91,61.68,0.31,61.51,""
25,92,62.04,NA,62.04,""
25,93,62.04,NA,62.04,""
25,94,62.19,0.26,62.04,""
25,95,61.77,0.38,61.77,""
25,96,61.77,0.38,61.77,""
25,97,61.5,NA,61.5,""
25,98,61.86,0.31,62.04,""
25,99,62.02,0.41,62.04,""
25,100,61.77,0.38,61.77,""
25,101,61.36,0.76,61.5,""
25,102,36.75,16.11,35.78,""
25,104,61.04,NA,61.04,""
25,105,59.59,NA,59.59,""
25,106,57.65,2.74,57.65,""
25,107,59.59,NA,59.59,""
25,108,57.65,2.74,57.65,""
25,109,57.65,2.74,57.65,""
25,110,57.62,NA,57.62,""
25,111,61.49,NA,61.49,""
25,112,60.19,1.26,60.4,""
25,113,61.49,NA,61.49,""
25,114,60.43,NA,60.43,""
25,115,60.97,0.76,60.97,""
25,116,60.01,1.74,60.43,""
25,117,61.3,0.79,61.5,""
25,118,60.97,0.76,60.97,""
25,119,61.5,NA,61.5,""
25,120,61.5,NA,61.5,""
25,121,60.59,1.29,60.59,""
25,122,56.61,1.74,56.61,""
25,123,60.91,1.15,61.08,""
25,124,61.06,0.99,61.29,""
25,125,61.5,NA,61.5,""
25,126,61.5,NA,61.5,""
25,127,61.73,0.33,61.73,""
25,128,61.73,0.33,61.73,""
25,129,61.73,0.33,61.73,""
25,130,61.73,0.33,61.73,""
25,131,61.73,0.33,61.73,""
25,132,61.96,NA,61.96,""
25,133,61.96,NA,61.96,""
25,134,61.73,0.33,61.73,""
25,135,61.73,0.33,61.73,""
25,136,61.73,0.33,61.73,""
25,137,61.81,0.27,61.96,""
25,138,61.73,0.33,61.73,""
25,139,61.73,0.33,61.73,""
25,140,61.73,0.33,61.73,""
25,141,61.97,NA,61.97,""
25,143,61.97,NA,61.97,""
25,144,61.56,0.49,61.58,""
25,145,61.97,NA,61.97,""
25,146,62.25,0.4,62.25,""
25,147,62.15,0.33,61.97,""
25,148,62.25,0.4,62.25,""
25,149,61.99,0.42,61.97,""
25,150,61.96,NA,61.96,""
25,151,62.25,0.4,62.25,""
25,152,62.25,0.4,62.25,""
25,153,62.24,0.39,62.24,""
25,154,62.53,NA,62.53,""
25,155,62.75,0.31,62.75,""
25,156,62.75,0.31,62.75,""
25,157,62.36,0.34,62.53,""
25,158,61.93,0.57,61.98,""
25,159,62,NA,62,""
25,160,62,NA,62,""
25,161,62,NA,62,""
25,162,62,NA,62,""
25,163,61.6,0.57,61.6,""
25,165,62,0,62,""
25,166,61.73,0.46,62,""
25,167,62,NA,62,""
25,168,62,NA,62,""
25,169,62,0,62,""
25,170,62,0,62,""
25,171,62,NA,62,""
25,172,62,NA,62,""
25,173,62.19,0.33,62,""
25,174,62.58,NA,62.58,""
25,175,62.55,0.03,62.55,""
25,176,62.55,0.03,62.55,""
25,177,62.7,0.26,62.58,""
25,178,62.7,0.26,62.58,""
25,179,62.75,0.31,62.75,""
25,180,62.83,0.26,62.96,""
25,181,62.79,0.3,62.79,""
25,182,62.31,0.37,62.31,""
25,183,62.31,0.37,62.31,""
25,184,62.21,0.32,62.05,""
25,185,62,NA,62,""
25,186,62.02,0.03,62.02,""
25,187,62.05,NA,62.05,""
25,188,62.31,0.37,62.31,""
25,189,62.56,0.39,62.59,""
25,190,63,NA,63,""
25,191,63,NA,63,""
25,192,62.77,0.27,62.8,""
25,193,62.8,0.28,62.8,""
25,194,62.8,0.28,62.8,""
25,195,62.05,NA,62.05,""
25,196,62.05,NA,62.05,""
25,197,61.92,0.2,62,""
25,198,61.27,0.74,61.41,""
25,199,56.79,3.22,57.55,""
25,200,61.62,NA,61.62,""
25,201,61.62,NA,61.62,""
25,202,60.37,1.13,60.47,""
25,203,60.4,1.38,60.67,""
25,204,58.91,NA,58.91,""
25,205,37.42,13.94,34.5,""
25,206,49.86,6.5,51.03,""
25,207,61.15,0.67,61.15,""
25,208,61.33,0.94,61.33,""
25,209,62.6,NA,62.6,""
25,210,62.7,0.27,62.6,""
25,211,62.55,0.08,62.55,""
25,212,62.6,NA,62.6,""
25,213,62.32,0.39,62.32,""
25,214,62.32,0.39,62.32,""
25,215,62.32,0.39,62.32,""
25,216,62.55,0.08,62.55,""
25,217,62.49,NA,62.49,""
25,218,62.29,0.29,62.27,""
25,219,62.05,NA,62.05,""
25,220,62.05,NA,62.05,""
25,221,62.04,0.01,62.04,""
25,222,62.26,0.32,62.26,""
25,223,62.26,0.32,62.26,""
25,224,62.26,0.32,62.26,""
25,225,62.26,0.32,62.26,""
25,226,60.31,1.33,61.08,""
25,227,61.56,0.68,61.56,""
25,228,62.04,0.01,62.04,""
25,229,61.56,0.55,61.56,""
25,230,61.72,0.55,62.04,""
25,231,62.04,0.01,62.04,""
25,232,62.04,NA,62.04,""
25,233,62.04,NA,62.04,""
25,234,61.77,0.38,61.77,""
25,235,62.04,NA,62.04,""
25,236,61.56,0.67,61.56,""
25,237,61.56,0.67,61.56,""
