"edon","seccion","mean","sd","median","note"
26,1,4.83,5.17,3.44,""
26,2,0.49,1.73,0,""
26,3,61.89,NA,61.89,""
26,4,NA,NA,NA,""
26,5,62,NA,62,""
26,6,62,NA,62,""
26,7,62,NA,62,""
26,8,NA,NA,NA,""
26,9,61.27,0.32,61.27,""
26,10,61.55,NA,61.55,""
26,11,62,NA,62,""
26,12,60.16,3.53,61.97,""
26,13,61.95,NA,61.95,""
26,14,61.37,0.99,61.89,""
26,15,60.87,1,61.01,""
26,16,61.34,NA,61.34,""
26,17,4.6,9,1.56,""
26,18,58.06,NA,58.06,""
26,19,50.7,12.66,50.7,""
26,20,56.49,4.69,56.49,""
26,21,56.19,NA,56.19,""
26,22,47.07,12.33,48.27,""
26,23,0.37,3,0,""
26,24,47.3,8.53,48.88,""
26,25,54.96,4.71,55.3,""
26,26,44.18,8.28,44.66,""
26,27,0,0,0,""
26,28,0,0,0,""
26,30,0.1,0.62,0,""
26,31,56.71,NA,56.71,""
26,32,54.21,4.3,55,""
26,34,40.77,9.18,40.77,""
26,35,33.91,7.96,36.31,""
26,37,2.25,5.21,0,""
26,38,0.23,0.96,0,""
26,39,0,0,0,""
26,40,0,0,0,""
26,41,10.33,2.45,10.33,""
26,42,0.2,1.15,0,""
26,43,0.05,0.37,0,""
26,44,0.02,0.27,0,""
26,45,0.05,0.39,0,""
26,46,0.53,2,0,""
26,47,0.13,0.84,0,""
26,48,0.15,0.92,0,""
26,49,0,0.01,0,""
26,51,0,0,0,""
26,52,0.13,0.94,0,""
26,54,0.45,1.93,0,""
26,55,0.08,0.5,0,""
26,56,0.28,1.3,0,""
26,57,9.4,1.69,9.4,""
26,58,13.46,2.12,13.98,""
26,59,0.57,2.04,0,""
26,60,0.84,2.49,0,""
26,61,4.15,0.22,4.05,""
26,62,0.42,1.14,0,""
26,63,0.45,1.31,0,""
26,64,0.09,0.65,0,""
26,65,0.06,0.44,0,""
26,66,0.44,2.49,0,""
26,67,26.05,5.36,25.46,""
26,68,25.15,5.29,22.27,""
26,69,28.27,5.29,27.82,""
26,70,58.68,2.67,58.68,""
26,71,47.36,NA,47.36,""
26,72,58.76,NA,58.76,""
26,73,58.93,2.49,58.93,""
26,74,51.22,7.44,51,""
26,75,40.19,12.59,40.64,""
26,76,60.91,NA,60.91,""
26,77,59.37,0.94,59.32,""
26,78,59.73,0.72,59.34,""
26,79,58.76,2.46,59.29,""
26,80,57.55,3.18,57.71,""
26,81,12.21,15.06,5.73,""
26,82,53.43,NA,53.43,""
26,83,33.31,9.02,34.46,""
26,84,51.78,5.63,53.86,""
26,85,59.29,NA,59.29,""
26,86,0.08,0.52,0,""
26,87,0.31,1.46,0,""
26,88,2.13,7.84,0,""
26,89,0.07,0.58,0,""
26,92,0.95,4.35,0,""
26,93,31.03,3.38,31.03,""
26,94,22.56,5.24,22.26,""
26,95,0.03,0.35,0,""
26,96,0.23,1.03,0,""
26,97,0.57,2.54,0,""
26,98,0.24,1.81,0,""
26,99,0.29,1,0,""
26,100,0.34,1.23,0,""
26,101,0.18,0.93,0,""
26,102,0.02,0.35,0,""
26,103,0.89,4.04,0,""
26,104,39.97,NA,39.97,""
26,105,37.8,4.81,39.76,""
26,106,0.23,1.24,0,""
26,107,0.06,0.49,0,""
26,108,0,0,0,""
26,109,0.28,1.3,0,""
26,110,0.53,1.79,0,""
26,111,6.97,1.34,7.22,""
26,112,27.32,10.81,27.06,""
26,113,38.05,5.26,38.66,""
26,114,40.62,NA,40.62,""
26,115,0.31,2.14,0,""
26,116,10.17,12.32,4.83,""
26,117,0.28,0.97,0,""
26,121,0.49,1.7,0,""
26,122,5.76,2.87,6.91,""
26,123,45.97,NA,45.97,""
26,124,50.46,NA,50.46,""
26,125,40.53,NA,40.53,""
26,126,51.08,4.69,51.97,""
26,127,54.67,3.42,54.99,""
26,128,56.49,NA,56.49,""
26,129,43.21,9.36,43.21,""
26,130,49.06,NA,49.06,""
26,131,57.6,0.74,57.78,""
26,132,52.21,7.94,54.54,""
26,133,44.94,13.61,46.88,""
26,134,0.09,0.54,0,""
26,135,5.85,11.16,0,""
26,136,4.1,8.36,0,""
26,137,1.31,4.95,0,""
26,138,25.11,5.93,23.77,""
26,139,23.13,7.18,23.51,""
26,140,0.32,2.19,0,""
26,141,0.07,0.49,0,""
26,142,55.54,NA,55.54,""
26,143,NA,NA,NA,""
26,144,53.09,NA,53.09,""
26,145,0.71,3.99,0,""
26,146,0.05,0.49,0,""
26,147,0.07,0.51,0,""
26,149,45.33,2.19,45.33,""
26,150,0.95,4.79,0,""
26,151,42.35,NA,42.35,""
26,152,44.71,2.64,44.33,""
26,153,46.11,1.74,46.41,""
26,154,41.45,6.01,43.78,""
26,155,45.94,NA,45.94,""
26,156,37.29,7.66,37.29,""
26,157,5.73,7.85,4.08,""
26,158,8.47,11.08,3.15,""
26,159,NA,NA,NA,""
26,160,NA,NA,NA,""
26,161,NA,NA,NA,""
26,162,62,NA,62,""
26,163,NA,NA,NA,""
26,164,58.09,1.4,58.09,""
26,165,62,NA,62,""
26,166,62,0,62,""
26,167,62,0,62,""
26,168,62,0,62,""
26,169,62,0,62,""
26,170,62,NA,62,""
26,171,61.92,0.12,61.92,""
26,172,61.94,0.1,62,""
26,173,61.92,0.1,61.92,""
26,174,62,0,62,""
26,175,62,0,62,""
26,176,62,0,62,""
26,177,62,0,62,""
26,178,62,NA,62,""
26,179,61.27,1.46,62,""
26,180,62,NA,62,""
26,181,62,0,62,""
26,182,62,0,62,""
26,183,62,NA,62,""
26,184,62,0,62,""
26,185,62,NA,62,""
26,186,61.8,0.28,61.8,""
26,187,61.8,0.28,61.8,""
26,188,62,0,62,""
26,189,62,NA,62,""
26,190,62,0,62,""
26,191,62,0,62,""
26,192,61.07,NA,61.07,""
26,193,62,NA,62,""
26,194,62,0,62,""
26,195,62,NA,62,""
26,196,62,0,62,""
26,197,62,0,62,""
26,198,62,0,62,""
26,199,62,NA,62,""
26,200,62,NA,62,""
26,201,62,0,62,""
26,202,62,NA,62,""
26,203,62,0,62,""
26,204,62,NA,62,""
26,205,52.45,NA,52.45,""
26,206,50.9,5.99,50.9,""
26,207,59.22,3.94,59.22,""
26,208,62,0,62,""
26,209,62,0,62,""
26,210,62,NA,62,""
26,211,62,0,62,""
26,212,62,0,62,""
26,213,62,0,62,""
26,214,61.6,0.57,61.6,""
26,215,62,0,62,""
26,216,61.81,0.37,62,""
26,217,60.34,2.32,61.16,""
26,218,62,0,62,""
26,219,62,NA,62,""
26,220,61.79,0.37,62,""
26,221,45.43,12,45.05,""
26,222,62,NA,62,""
26,223,61.18,1.68,61.94,""
26,225,57.39,3.08,57.63,""
26,226,59.93,2.47,60.88,""
26,228,1.01,1.85,0,""
26,229,0.93,1.96,0,""
26,230,0.01,0.16,0,""
26,231,61.68,0.45,61.68,""
26,232,0.49,1.91,0,""
26,233,0.13,1.33,0,""
26,234,25.53,NA,25.53,""
26,235,23.91,3.11,23.91,""
26,236,0.16,0.78,0,""
26,238,0.14,0.71,0,""
26,239,0.52,1.43,0,""
26,240,0,0,0,""
26,243,0,0,0,""
26,245,0,0,0,""
26,246,0,0,0,""
26,247,1.09,2.37,0,""
26,248,0.15,0.76,0,""
26,249,0.24,1.21,0,""
26,250,0,0,0,""
26,251,0.08,0.54,0,""
26,252,38.01,14.13,39.52,""
26,253,56.18,NA,56.18,""
26,254,28.12,15.92,26.19,""
26,255,2.63,7.5,0,""
26,256,57.61,NA,57.61,""
26,257,54.63,2.72,54.63,""
26,258,1.18,1.81,0,""
26,259,5.31,2.31,5.49,""
26,260,1.52,6.56,0,""
26,261,2.95,2.95,2.19,""
26,262,0.46,2.06,0,""
26,263,24.27,14.68,23.4,""
26,264,0.36,1.52,0,""
26,265,0.19,0.93,0,""
26,266,0.33,1.82,0,""
26,267,0.08,0.55,0,""
26,268,0,0,0,""
26,269,0,0,0,""
26,270,0,0,0,""
26,272,0.5,1.51,0,""
26,273,0.28,1.5,0,""
26,274,0.25,1.48,0,""
26,275,13.44,1.14,13.18,""
26,278,0.1,0.88,0,""
26,279,0.3,1.04,0,""
26,281,0.34,1.35,0,""
26,283,0.1,0.56,0,""
26,284,0.11,0.61,0,""
26,285,0.94,1.95,0,""
26,286,0.26,1.29,0,""
26,287,8.26,2.57,8.54,""
26,288,0,0,0,""
26,289,0.1,0.68,0,""
26,290,0.32,0.98,0,""
26,291,0.06,0.45,0,""
26,292,58.44,NA,58.44,""
26,293,56.55,7.33,56.55,""
26,294,62,NA,62,""
26,295,60.49,1.38,60.15,""
26,296,57.8,4.93,59.03,""
26,297,54.07,5.22,54.07,""
26,298,60.53,NA,60.53,""
26,299,61.47,0.68,61.47,""
26,300,61.98,0.02,61.99,""
26,301,62,NA,62,""
26,302,62,NA,62,""
26,303,61.65,0.53,61.86,""
26,304,60.55,1.74,60.55,""
26,305,59.86,NA,59.86,""
26,306,51.76,5.51,51.76,""
26,307,60.88,NA,60.88,""
26,308,46.96,8.24,46.96,""
26,309,61.99,NA,61.99,""
26,310,61.99,NA,61.99,""
26,311,1.55,7.33,0,""
26,312,61.21,NA,61.21,""
26,313,53.81,4.64,53.81,""
26,314,52.44,7.87,52.44,""
26,315,57.07,4.64,56.43,""
26,316,21.42,9.45,20.35,""
26,317,50.67,8.14,50.67,""
26,319,0.93,2.46,0,""
26,320,5.02,3.22,4.59,""
26,321,0.15,1.53,0,""
26,322,2.12,2.9,0.2,""
26,323,0.49,1.28,0,""
26,324,0.11,0.62,0,""
26,325,0.02,0.22,0,""
26,326,2.57,2.34,2.68,""
26,327,3.81,9.25,0,""
26,328,0.42,1.22,0,""
26,329,0.21,1.65,0,""
26,330,0.23,1.58,0,""
26,331,0.15,0.86,0,""
26,332,0.08,0.62,0,""
26,333,0,0,0,""
26,334,0.3,1.02,0,""
26,335,0.15,0.86,0,""
26,336,62,0,62,""
26,337,62,NA,62,""
26,338,61.08,NA,61.08,""
26,339,62,NA,62,""
26,340,61.42,0.82,61.42,""
26,341,54.61,6.56,56.05,""
26,342,61.88,0.16,61.88,""
26,343,59.73,NA,59.73,""
26,344,59.46,2.89,60.15,""
26,345,61.93,0.13,62,""
26,346,62,0,62,""
26,347,62,NA,62,""
26,348,62,NA,62,""
26,349,62,NA,62,""
26,350,62,NA,62,""
26,351,62,0,62,""
26,353,62,0,62,""
26,354,62,0,62,""
26,355,62,0,62,""
26,356,62,0,62,""
