"edon","seccion","mean","sd","median","note"
27,1,11.51,13.17,5.64,""
27,2,8.26,9.2,5.61,""
27,3,37.57,NA,37.57,""
27,4,37.7,0.18,37.7,""
27,5,12.01,9.39,10.37,""
27,6,4.65,4.5,4.53,""
27,7,13.43,8.37,11.36,""
27,8,0.09,0.5,0,""
27,9,0.61,1.61,0,""
27,10,0,0,0,""
27,11,0.28,1.03,0,""
27,12,0.87,1.62,0,""
27,13,6.71,6.75,5.14,""
27,14,18.76,3.78,18.25,""
27,15,20.26,2.52,20.17,""
27,16,18.25,NA,18.25,""
27,17,3.29,4.68,1.1,""
27,18,1.02,1.61,0,""
27,19,0.88,2.02,0,""
27,20,1.24,1.97,0,""
27,21,0.11,0.56,0,""
27,22,1.19,2.1,0,""
27,23,4.23,2.95,4.8,""
27,24,1.4,2.49,0,""
27,25,0.83,1.6,0,""
27,27,2.39,3.08,0.42,""
27,28,1.09,2.34,0,""
27,29,1.91,2.05,0.99,""
27,30,1.56,2.05,0,""
27,31,1.13,1.55,0,""
27,32,0.61,1.19,0,""
27,33,0.61,1.37,0,""
27,34,0.51,1.26,0,""
27,35,2,2.47,0.59,""
27,36,2.84,2.21,3.18,""
27,37,1.52,2.51,0,""
27,38,0.81,1.67,0,""
27,39,0.7,1.59,0,""
27,40,4.04,2.46,4.92,""
27,41,0.27,0.86,0,""
27,42,1.23,1.93,0,""
27,43,1.55,2.27,0,""
27,44,0.25,0.91,0,""
27,45,0.41,1.15,0,""
27,46,54.28,3.96,55.2,""
27,47,57.93,1.09,57.7,""
27,48,53.87,NA,53.87,""
27,49,57.71,NA,57.71,""
27,50,59.38,0.36,59.38,""
27,51,59.12,0,59.12,""
27,52,57.96,NA,57.96,""
27,53,58.93,NA,58.93,""
27,54,59.41,0.34,59.38,""
27,55,39.95,11.06,38.87,""
27,56,57.27,2.22,57.58,""
27,57,59.7,0.09,59.7,""
27,58,59.12,0.92,59.12,""
27,59,59.77,NA,59.77,""
27,60,59.06,0.66,58.93,""
27,61,58.83,1.08,59.05,""
27,62,58.55,1.54,58.55,""
27,63,52.91,5.37,54.27,""
27,64,55.87,2.26,55.87,""
27,65,57.97,0.71,57.97,""
27,66,57.97,0.71,57.97,""
27,67,58.47,NA,58.47,""
27,68,58.47,NA,58.47,""
27,69,58.31,0.72,58.47,""
27,70,57.1,1.52,57.07,""
27,71,52.34,4.22,52.34,""
27,72,57.51,NA,57.51,""
27,73,58.47,NA,58.47,""
27,74,57.97,0.71,57.97,""
27,75,57.97,0.71,57.97,""
27,76,56.65,1.15,56.65,""
27,77,55.84,NA,55.84,""
27,78,57.26,1.08,57.37,""
27,79,57.2,1.32,57.28,""
27,80,57.88,0.84,57.88,""
27,81,57.28,NA,57.28,""
27,82,56.56,1.02,56.56,""
27,83,55.84,NA,55.84,""
27,84,50.24,NA,50.24,""
27,85,54.67,2.26,54.35,""
27,86,53.67,3.75,54.28,""
27,87,52.71,NA,52.71,""
27,88,52.86,NA,52.86,""
27,89,43.86,1.09,43.86,""
27,90,0.03,0.21,0,""
27,91,4.24,2.22,5.34,""
27,92,13,NA,13,""
27,93,12.53,0.67,12.53,""
27,94,12.05,NA,12.05,""
27,95,1.66,2.84,0,""
27,96,1.31,1.82,0,""
27,97,2.46,2.39,1.94,""
27,98,12.22,4.3,12.13,""
27,99,7.18,3.28,6,""
27,100,2.64,2.56,2.39,""
27,101,10.16,5.31,8.18,""
27,102,21.69,12.24,19.19,""
27,103,4.65,1.31,5,""
27,104,8.38,1.99,7.88,""
27,105,6.21,0.48,6.07,""
27,106,2.87,2.53,4.26,""
27,107,10.32,5.03,8.68,""
27,108,5.29,0.4,5.04,""
27,109,7.59,1.35,7.59,""
27,110,6.25,1.38,6.47,""
27,111,0.58,1.39,0,""
27,112,6.35,0.88,6.24,""
27,113,12.99,7.43,9.96,""
27,114,23.94,0.59,23.94,""
27,115,22.78,NA,22.78,""
27,116,22.93,NA,22.93,""
27,117,1.59,2.07,0,""
27,118,3.92,2.18,5,""
27,119,4.48,1.9,5.21,""
27,120,8.15,1.67,8.03,""
27,121,7.49,1.11,7.29,""
27,122,11.25,1.72,11.12,""
27,123,15.32,1.11,15.39,""
27,124,19.24,6.53,18.45,""
27,125,5.53,1.7,5.83,""
27,126,4.59,2.48,5,""
27,127,4.98,2.17,5.65,""
27,128,3.49,2.49,3.72,""
27,129,6.36,1.44,6.59,""
27,130,19.08,3.74,18.76,""
27,131,19.22,2.78,18.62,""
27,132,9.84,2.05,9.74,""
27,133,9.58,1.76,9.74,""
27,134,7.89,1.35,7.68,""
27,135,10.86,4.99,9.66,""
27,136,27.56,7.67,27.95,""
27,137,41.15,NA,41.15,""
27,138,45.44,NA,45.44,""
27,139,43.15,7.74,44.62,""
27,140,28.15,6.57,28.08,""
27,141,6.47,1.51,6.22,""
27,142,7.91,1.4,7.86,""
27,143,8.07,1.31,7.95,""
27,144,10.18,1.81,10.56,""
27,145,20.17,2.97,19.31,""
27,146,31.45,11.72,27.94,""
27,147,28.87,3.62,27.72,""
27,148,21.4,8.19,19.17,""
27,149,46.67,NA,46.67,""
27,150,30.01,3.51,28.63,""
27,151,37.39,10.04,33.5,""
27,152,39.89,8.76,41.35,""
27,153,41.85,9.89,37.69,""
27,154,38.39,4.98,39.1,""
27,155,14.02,4.08,13.6,""
27,156,15.4,5.94,14.04,""
27,157,10.4,3.87,9.1,""
27,158,19.26,0.13,19.26,""
27,159,15.33,2.45,14.72,""
27,160,20.05,6.73,19.51,""
27,161,43.98,8.64,42.3,""
27,162,38.71,5.4,37.57,""
27,163,11.4,0.95,11.47,""
27,164,20.28,4.35,20,""
27,165,32.94,5.55,32.99,""
27,166,29.96,1.21,29.96,""
27,167,29.54,10.95,29.02,""
27,168,46.24,NA,46.24,""
27,169,41.81,4.08,42.69,""
27,170,45.35,NA,45.35,""
27,171,43.41,2.78,43.3,""
27,172,43.75,3.52,43.75,""
27,173,41.26,NA,41.26,""
27,174,41.02,0.34,41.02,""
27,175,42.46,2.51,41.26,""
27,176,37.94,NA,37.94,""
27,177,40.78,NA,40.78,""
27,178,41.02,0.34,41.02,""
27,179,5.92,6.41,4.37,""
27,180,36.15,5.64,36.17,""
27,181,34.89,NA,34.89,""
27,182,5.73,1.27,5.97,""
27,183,4.37,1.68,5,""
27,184,5.33,2.19,5.5,""
27,185,10.83,7.29,7.27,""
27,186,7.5,2.72,6.35,""
27,187,14.88,12.02,8.65,""
27,188,2.42,2.1,2.48,""
27,189,9.38,7.73,6.73,""
27,190,3.85,2.78,5,""
27,191,10.19,5.36,8.57,""
27,192,11.7,5.62,9.64,""
27,193,0.15,0.74,0,""
27,194,0.66,1.28,0,""
27,195,0.85,1.68,0,""
27,196,18.02,5.31,17.35,""
27,197,14.58,3.31,14.69,""
27,198,11.78,1.74,12.18,""
27,199,10.51,2.72,9.98,""
27,200,13.53,0.49,13.37,""
27,201,19.32,6.73,20.31,""
27,202,24.66,5.58,24.61,""
27,203,18.24,3.5,17.6,""
27,204,15.51,3.98,14.47,""
27,205,11.75,3.25,11.09,""
27,206,14.94,4.77,14.58,""
27,207,8.9,1.95,8.42,""
27,208,20.28,NA,20.28,""
27,209,23.75,2.96,23.75,""
27,210,19.74,3.51,19.56,""
27,211,23.66,NA,23.66,""
27,212,22.36,3.94,22.6,""
27,213,23.08,2.42,23.94,""
27,214,13.14,4.11,13.22,""
27,215,12.06,3.69,12.4,""
27,216,4.14,3.49,5.11,""
27,217,1.6,2.11,0,""
27,218,0.55,1.23,0,""
27,219,0.17,0.62,0,""
27,220,0.91,1.72,0,""
27,221,0.56,1.36,0,""
27,222,3.61,2.89,3.37,""
27,223,8.86,2.89,8.39,""
27,224,3.42,4.15,2.13,""
27,225,9.81,2.89,8.71,""
27,226,0.58,1.44,0,""
27,227,3.8,2.07,4.56,""
27,228,4.78,1.38,5,""
27,229,0.19,0.69,0,""
27,230,1.43,2.16,0,""
27,231,2.71,1.49,2.7,""
27,232,56.56,5.26,56.28,""
27,233,60.55,0.26,60.55,""
27,234,61.59,0.48,61.68,""
27,235,60.73,NA,60.73,""
27,236,60.73,NA,60.73,""
27,237,61.8,0.28,61.8,""
27,238,61.84,0.31,61.98,""
27,239,60.73,NA,60.73,""
27,240,60.73,NA,60.73,""
27,241,58.8,2.73,58.8,""
27,242,56.87,NA,56.87,""
27,243,58.8,2.73,58.8,""
27,244,60.78,1.17,60.73,""
27,245,61.78,0.34,61.97,""
27,246,61.99,0.01,61.99,""
27,247,62,0.01,62,""
27,248,58.22,2.38,58.26,""
27,249,61.38,NA,61.38,""
