"edon","seccion","mean","sd","median","note"
28,1,2.32,3.79,0,""
28,2,13.1,NA,13.1,""
28,3,2.38,4.07,0,""
28,4,1.01,2.57,0,""
28,5,8.8,NA,8.8,""
28,6,3.22,3.58,1.66,""
28,8,0.06,0.51,0,""
28,9,0.51,1.41,0,""
28,10,0.94,1.67,0,""
28,11,0.24,0.92,0,""
28,12,0,0.01,0,""
28,13,2.34,5.51,0,""
28,14,7.71,8.7,5,""
28,15,27.79,NA,27.79,""
28,16,21.57,NA,21.57,""
28,17,21.32,NA,21.32,""
28,18,0.74,2.61,0,""
28,19,2.56,4.03,0,""
28,20,0,0,0,""
28,21,0,0,0,""
28,22,0,0,0,""
28,23,0.11,0.6,0,""
28,24,0,0,0,""
28,25,0.15,0.76,0,""
28,26,0.09,0.62,0,""
28,27,0.06,0.45,0,""
28,28,0.34,1.11,0,""
28,29,0,0,0,""
28,30,0.28,0.98,0,""
28,31,0.12,0.62,0,""
28,32,0,0,0,""
28,33,0.3,1.04,0,""
28,34,58.95,0.07,58.95,""
28,35,58.92,NA,58.92,""
28,36,59.33,0.62,59.33,""
28,37,60.18,0.29,60.18,""
28,38,60.39,NA,60.39,""
28,39,59.23,0.47,59,""
28,40,59.45,0.49,59.39,""
28,41,59.49,0.56,59.49,""
28,42,59,NA,59,""
28,43,59.99,0.02,59.99,""
28,44,60.39,NA,60.39,""
28,45,60.55,0.42,60.56,""
28,46,58.58,1.71,59.09,""
28,47,57.77,2.32,57.77,""
28,48,56.77,3.28,57.81,""
28,49,58.77,NA,58.77,""
28,50,58.1,1.74,58.77,""
28,51,56.13,NA,56.13,""
28,52,49.46,6.64,50.33,""
28,53,47.07,8.52,47.07,""
28,54,41.05,NA,41.05,""
28,55,0.77,2.01,0,""
28,56,2.25,2.79,0,""
28,57,19.3,1.37,19.86,""
28,58,18.69,NA,18.69,""
28,59,18.52,NA,18.52,""
28,60,1.75,4.06,0,""
28,61,24.95,18.13,18.99,""
28,62,4.56,4.3,5,""
28,63,6.12,3.25,5.81,""
28,64,8.63,2.44,8.56,""
28,65,0.96,1.85,0,""
28,66,0.63,1.46,0,""
28,67,37.83,16.63,40.63,""
28,68,5.6,2.56,5.53,""
28,69,14.27,8.7,10.97,""
28,70,34.11,16.28,35.53,""
28,71,44.97,11.71,47.55,""
28,72,60.16,1.22,60.63,""
28,73,60.93,NA,60.93,""
28,74,57.02,3.68,57.02,""
28,75,58.38,NA,58.38,""
28,77,54.08,5.39,55.39,""
28,78,61,0,61,""
28,79,59.5,2.3,60.34,""
28,80,60.12,1.65,61,""
28,81,61.58,0.38,61.46,""
28,82,58.24,NA,58.24,""
28,83,33.43,14.11,33.44,""
28,84,62,NA,62,""
28,85,61.42,0.67,61.45,""
28,86,62,0,62,""
28,87,61.2,0.23,61.2,""
28,88,61.7,0.33,61.7,""
28,89,62,0,62,""
28,90,62,0,62,""
28,91,62,NA,62,""
28,92,61.63,0.64,62,""
28,93,55.19,7.73,58.09,""
28,94,62,0,62,""
28,95,61.4,0,61.4,""
28,96,61,NA,61,""
28,97,61.2,0.23,61.2,""
28,98,61.4,NA,61.4,""
28,99,62,NA,62,""
28,100,8.77,4.22,8.02,""
28,101,7.86,4.82,8.12,""
28,102,0.69,1.84,0,""
28,103,1.11,1.7,0,""
28,104,2.86,2.65,2.83,""
28,105,2.31,2.25,1.72,""
28,106,6.16,2.9,6.46,""
28,107,0.21,0.87,0,""
28,108,0.15,1.01,0,""
28,109,0.65,1.97,0,""
28,110,0.33,1.29,0,""
28,111,0,0.03,0,""
28,112,0.96,1.87,0,""
28,113,0,0,0,""
28,114,0.26,1.05,0,""
28,115,0,0,0,""
28,116,0.26,1.03,0,""
28,117,0.39,1.18,0,""
28,118,0.24,0.81,0,""
28,119,0,0,0,""
28,120,0,0,0,""
28,121,0,0,0,""
28,122,0,0,0,""
28,123,0,0,0,""
28,124,0.03,0.25,0,""
28,125,38.7,7.39,37.09,""
28,126,50.3,0.51,50.3,""
28,127,42.78,6.14,42.76,""
28,128,21.79,10.63,20.26,""
28,129,40.17,NA,40.17,""
28,130,33.09,7.41,33.1,""
28,131,11.5,6.8,9.11,""
28,132,13.99,8.55,11.14,""
28,133,7.41,3.37,7.7,""
28,134,4.51,3.12,5,""
