"edon","seccion","mean","sd","median","note"
29,1,51.38,1.61,52.3,""
29,2,54.13,2.2,54.3,""
29,3,55.01,3.39,55.63,""
29,4,35.62,4.34,35.62,""
29,5,60.5,NA,60.5,""
29,6,60.6,NA,60.6,""
29,7,60.67,0.11,60.67,""
29,8,61,NA,61,""
29,9,52.14,5.67,52.13,""
29,10,57.46,1.78,57.44,""
29,11,60.75,NA,60.75,""
29,12,59.38,NA,59.38,""
29,13,58.99,NA,58.99,""
29,14,56.37,1.1,56.25,""
29,15,58.81,0.76,58.99,""
29,16,58.53,1.2,58.53,""
29,17,59.69,0.36,59.69,""
29,18,59.69,0.44,59.69,""
29,19,59.49,0.42,59.49,""
29,20,59.61,NA,59.61,""
29,21,59.31,0.68,59.55,""
29,22,60,NA,60,""
29,23,60,0,60,""
29,24,60,0,60,""
29,25,59.69,0.44,59.69,""
29,26,59.38,NA,59.38,""
29,27,60,NA,60,""
29,28,59.77,0.26,59.77,""
29,29,59.55,NA,59.55,""
29,30,58.02,NA,58.02,""
29,31,59.07,0.72,59.35,""
29,32,59.55,NA,59.55,""
29,33,60,NA,60,""
29,34,59.7,0.26,59.55,""
29,35,59.85,0.26,60,""
29,36,59.55,NA,59.55,""
29,37,59.55,0,59.55,""
29,38,28.22,9.18,27.27,""
29,39,31.27,3.81,31.33,""
29,40,41.25,3.75,40.3,""
29,41,49.5,3.01,49.21,""
29,42,56.06,1.84,56.11,""
29,43,58.02,0,58.02,""
29,44,54.43,1.79,55.27,""
29,45,58.79,1.08,58.79,""
29,46,57.22,1.41,57.22,""
29,47,58.4,1.08,58.4,""
29,48,59.38,0,59.38,""
29,49,7.97,0.53,8,""
29,50,7.08,0.12,7,""
29,51,7.43,0.58,7,""
29,52,7.19,0.27,7,""
29,53,8.19,0.4,8,""
29,54,8.74,0.41,8.94,""
29,55,8,0,8,""
29,56,8.24,0.65,8,""
29,57,8.98,0.93,8.98,""
29,58,9.43,1.48,8.6,""
29,59,17.65,2.15,18.42,""
29,60,12.83,5.19,10.92,""
29,61,9.08,2.64,7.92,""
29,62,8.76,2.73,7.32,""
29,63,8,0.92,7.84,""
29,64,7.8,0.31,8,""
29,65,10.21,3.33,9.4,""
29,66,9.09,2.83,7.8,""
29,67,8.12,0.23,8,""
29,68,13.03,1.63,12.21,""
29,69,9.88,1.51,9.9,""
29,70,13.29,2.36,12.42,""
29,71,11.62,1.06,11.79,""
29,72,8.7,1.54,9.12,""
29,73,12.94,0.5,12.6,""
29,74,11.85,1.77,12.35,""
29,75,12.11,1.36,12.38,""
29,76,10.33,0.8,10.19,""
29,77,20.62,0.49,20.56,""
