"edon","seccion","mean","sd","median","note"
30,1,10.84,1.82,11.05,""
30,2,5.01,2.81,5.88,""
30,3,3.52,3.9,1.75,""
30,4,3.2,2.35,4,""
30,5,5.87,1.56,5.78,""
30,6,7.45,1.25,7.82,""
30,7,45.67,NA,45.67,""
30,8,49.54,4.53,49.54,""
30,9,43.92,NA,43.92,""
30,10,51.39,NA,51.39,""
30,11,52.41,1.43,52.41,""
30,12,53.42,NA,53.42,""
30,13,53.46,0.06,53.46,""
30,14,53.51,NA,53.51,""
30,15,55.67,3.06,55.67,""
30,16,55.68,2.56,55.67,""
30,17,55.69,3.21,55.69,""
30,18,54.39,2.76,54.1,""
30,19,56.37,2.25,56.37,""
30,20,56.43,2.54,57.83,""
30,21,55.67,3.06,55.67,""
30,22,46.31,9.81,46.31,""
30,23,57.83,NA,57.83,""
30,24,57.9,0.1,57.9,""
30,25,57.9,0.1,57.9,""
30,26,56.37,2.25,56.37,""
30,27,56.28,NA,56.28,""
30,28,55.08,4.35,56.28,""
30,29,55.84,NA,55.84,""
30,30,56.83,1.4,56.83,""
30,31,52.34,5.45,53.25,""
30,32,51.07,NA,51.07,""
30,33,9.96,1.04,9.95,""
30,34,9.49,0.66,9.49,""
30,35,0.18,0.72,0,""
30,36,1.25,1.57,0,""
30,37,2.44,2.85,0,""
30,38,3.11,2.34,3.86,""
30,39,2.54,1.97,2.84,""
30,40,3,2.18,3.87,""
30,41,5.44,1.25,5.53,""
30,42,7.95,8.12,5,""
30,43,9.34,8.92,5.96,""
30,44,17.83,11.32,14.13,""
30,45,7.81,0.34,7.73,""
30,46,1.39,2.88,0,""
30,47,10.82,1.03,10.82,""
30,48,10.51,NA,10.51,""
30,49,4.6,2.97,4.53,""
30,50,8.16,1.76,7.92,""
30,51,6.89,0.5,7,""
30,52,6.9,0.13,7,""
30,53,4.95,0.09,5,""
30,54,1.37,1.98,0,""
30,55,0.03,0.18,0,""
30,56,2.57,1.79,3.3,""
30,57,9.42,6.46,7.33,""
30,58,12.4,4.01,13.92,""
30,59,9.36,2.76,9.13,""
30,60,7.93,3.26,7.46,""
30,61,9.42,0.13,9.42,""
30,62,1.36,1.8,0,""
30,63,4.01,2.58,4,""
30,64,2.39,2.22,2.43,""
30,65,0,0,0,""
30,66,4.08,1.58,4.74,""
30,67,4.52,3.53,4.68,""
30,68,2.59,3.43,0,""
30,69,11.41,0.52,11.42,""
30,70,5.96,1.17,5.39,""
30,71,5.74,0.86,5.12,""
30,72,4.89,0.5,5,""
30,73,12.75,1.86,13.41,""
30,74,11.38,2.15,11.03,""
30,75,8.83,2.84,8.37,""
30,76,8.72,1.22,8.85,""
30,77,3.44,1.46,4,""
30,78,6.01,1.8,5.4,""
30,79,4.5,0.59,4.45,""
30,80,2.91,2.81,3.22,""
30,81,7.93,1.48,8.24,""
30,82,5.59,0.76,5.49,""
30,83,3.32,1.47,4,""
30,84,5.78,0.76,5.63,""
30,85,8.56,1.91,9.23,""
30,86,4.76,2.81,4.26,""
30,87,0,0,0,""
30,88,0.54,1.61,0,""
30,89,1.01,1.62,0,""
30,90,3.1,1.61,3.23,""
30,91,2.16,2.76,0.62,""
30,92,8.51,0.96,8.57,""
30,93,5.7,1.9,5.49,""
30,94,3.9,2.05,4.23,""
30,95,7.83,NA,7.83,""
