"edon","seccion","mean","sd","median","note"
31,1,10,NA,10,""
31,2,2.36,1.33,3,""
31,3,4.51,1.16,4,""
31,4,3.3,2.69,3.52,""
31,5,8.49,0.05,8.49,""
31,6,2.55,1.62,3.24,""
31,7,27.39,3.52,26.84,""
31,8,27.63,5.25,28.4,""
31,9,29.58,3.46,29.38,""
31,10,11.43,6.01,9.01,""
31,11,9.01,1.05,8.93,""
31,12,10.57,0.42,10.68,""
31,13,8.51,0.69,8.34,""
31,14,20.81,NA,20.81,""
31,15,6.1,7.34,3.87,""
31,16,29.43,NA,29.43,""
31,17,23.03,5.38,22.51,""
31,18,9.08,5.72,7.56,""
31,20,19.91,2.14,19.38,""
31,21,21.84,NA,21.84,""
31,22,10.89,5.73,8.52,""
31,23,23.2,2.45,23.2,""
31,24,12.92,5.04,13.07,""
31,25,7.57,2.84,7.97,""
31,26,12.86,1.37,12.86,""
31,27,25.17,NA,25.17,""
31,28,25.01,1.54,25.01,""
31,29,1.02,3.84,0,""
31,30,2.63,5.51,0,""
31,31,3.68,3.58,3.82,""
31,32,0,0,0,""
31,33,9.25,6.27,7,""
31,34,24.98,2.91,24.98,""
31,35,27.08,NA,27.08,""
31,36,24.17,NA,24.17,""
31,37,15.56,0.62,15.56,""
31,38,2.77,3.89,0.3,""
31,39,0.56,1.16,0,""
31,40,1.14,2.04,0,""
31,41,7.25,6.06,6.77,""
31,42,20.24,NA,20.24,""
31,43,17.69,1.11,17.69,""
31,44,17.14,4.2,18.05,""
31,45,3.11,3.18,3.2,""
31,46,2.46,2.14,3.11,""
31,47,0.89,1.91,0,""
31,48,0.77,1.27,0,""
31,49,1.18,1.58,0,""
31,50,0.38,2.36,0,""
31,51,32.95,2.37,31.88,""
31,52,NA,NA,NA,""
31,53,31.24,NA,31.24,""
31,54,0.82,2.57,0,""
31,55,16.88,NA,16.88,""
31,56,15.93,NA,15.93,""
31,57,16.43,NA,16.43,""
31,58,0.52,1.19,0,""
31,59,33.13,NA,33.13,""
31,60,18.15,6.7,16.91,""
31,61,31.76,4.08,33.28,""
31,62,25.79,6.1,27.93,""
31,63,12.77,3.03,12.24,""
31,64,19.48,6.76,19.87,""
31,65,9.4,0.25,9.28,""
31,66,2.48,3.06,0.62,""
31,67,15.13,1.67,15.33,""
31,68,5.57,5.9,3.62,""
31,69,5.61,2.07,5.33,""
31,70,1.99,2.78,0.13,""
31,71,1.56,1.83,0.54,""
31,72,1.53,1.91,0.12,""
31,73,0.77,1.44,0,""
31,74,0.75,1.35,0,""
31,75,10.05,0.8,10.05,""
31,76,3.49,2.55,3.22,""
31,77,1.96,1.93,1.62,""
31,78,28.22,1.06,28.22,""
31,79,25.51,NA,25.51,""
31,80,28.45,2.13,28.45,""
31,81,28.63,NA,28.63,""
31,82,1.69,1.94,0.48,""
31,83,15.15,0.67,15.11,""
31,84,0.54,1.95,0,""
31,85,0.45,1.67,0,""
31,86,1.7,2.47,0,""
31,87,0.09,0.7,0,""
31,88,0.87,2.23,0,""
31,89,2.98,4.78,0,""
31,90,0.7,2.91,0,""
31,91,24.4,1.6,24.12,""
31,92,9.27,6.11,7.09,""
31,93,15.07,2.01,15.07,""
31,94,15.24,0.02,15.24,""
31,95,1.72,3.83,0,""
31,96,0.27,0.81,0,""
31,97,0,0,0,""
31,98,0,0,0,""
31,99,1.17,2.25,0,""
31,101,0.63,1.62,0,""
31,102,0.28,0.92,0,""
31,103,22.07,NA,22.07,""
31,104,3.11,4.5,1.89,""
31,105,20.72,3.18,22.12,""
31,106,6.35,4.53,6.59,""
31,107,3.06,4.93,0.22,""
31,108,9.64,4.49,8.89,""
31,109,19.91,NA,19.91,""
31,110,4.49,5.87,2.61,""
31,111,23.48,2.09,23.37,""
31,112,22.97,2.71,23.05,""
31,113,9.89,6.29,7.42,""
31,114,28.47,NA,28.47,""
31,115,32.46,NA,32.46,""
31,116,3.14,5.89,0,""
31,117,28.83,7.39,30.91,""
31,118,29.66,NA,29.66,""
31,120,NA,NA,NA,""
31,121,0.37,1.67,0,""
31,122,1.87,4.14,0,""
31,123,23.9,NA,23.9,""
31,124,0.3,2.02,0,""
31,125,21.6,NA,21.6,""
31,126,20.85,2.96,21.88,""
31,127,12.54,NA,12.54,""
31,128,1.79,3.15,0,""
31,129,11.98,0.96,12.44,""
31,130,1.22,2.04,0,""
31,131,1.31,2.9,0,""
31,132,10.75,0.12,10.75,""
31,133,0.82,1.2,0,""
31,134,34.26,1.64,34.26,""
31,135,1.32,4.82,0,""
31,136,1.85,5.18,0,""
31,137,33.39,NA,33.39,""
31,138,28.95,5.24,28.95,""
31,139,1.01,1.83,0,""
31,140,1.16,1.57,0.05,""
31,141,2.66,2.45,2.6,""
31,142,32.66,2.55,31.22,""
31,143,31.99,3.11,31.35,""
31,144,12.56,8.29,9.95,""
31,145,29.72,4.99,29.72,""
31,146,31.25,3.57,31.25,""
31,147,0.53,1.17,0,""
31,148,5.99,2.33,6.94,""
31,149,12.41,5.67,9.94,""
31,150,4.43,2.81,4,""
31,151,9.29,4.55,8.48,""
31,152,14.25,2.24,14.8,""
31,153,12.6,1.73,12.6,""
31,154,16.56,NA,16.56,""
31,155,14.05,1.06,14.05,""
31,156,6.97,2.83,7.41,""
31,157,4.83,4.63,3.22,""
31,158,21.27,2.01,21.35,""
31,159,23.21,NA,23.21,""
31,160,13.2,7.24,14.96,""
31,161,3.15,1.91,3.98,""
31,162,17.61,0.7,17.61,""
31,163,4.7,4.78,3.58,""
31,164,18.39,0.94,18.39,""
31,165,20.72,0.28,20.72,""
31,166,0.54,1.6,0,""
31,167,0.68,1.38,0,""
31,168,18.22,NA,18.22,""
31,169,2.57,4.04,0,""
31,170,16.23,2.96,17.17,""
31,171,0.67,1.26,0,""
31,172,2.53,6.03,0,""
31,173,11.73,8.89,7.49,""
31,174,34.24,8.95,34.24,""
31,175,48.03,NA,48.03,""
31,176,50.8,NA,50.8,""
31,177,47.78,NA,47.78,""
31,178,45.96,6.41,45.96,""
31,179,47.15,3.6,47.61,""
31,180,18.92,12.85,13.76,""
31,181,47.99,NA,47.99,""
31,182,20.65,12.35,15.46,""
31,183,NA,NA,NA,""
31,184,1.26,2.47,0,""
31,185,7.02,0.08,7,""
31,186,7.8,2,7.36,""
31,187,4.08,5.01,3,""
31,188,21.94,0.86,21.94,""
31,189,45.19,3.25,45.19,""
31,190,39.91,8.26,42.89,""
31,191,9.01,9.59,5.53,""
31,192,49.43,NA,49.43,""
31,193,37.82,6.81,35.41,""
31,194,43.77,NA,43.77,""
31,195,46.43,NA,46.43,""
31,196,43.23,5.7,44.65,""
31,197,38.66,4.25,38.72,""
31,198,11.69,5.6,11.63,""
31,199,1.29,2.74,0,""
31,200,5.81,5.45,3.68,""
31,201,19.37,0.46,19.37,""
31,202,7.57,2.56,8.02,""
31,203,3.58,2.88,3.76,""
31,204,58.86,0.28,59,""
31,205,58.69,0.45,59,""
31,206,57.19,1.17,57.19,""
31,207,36.53,11.74,39.15,""
31,208,58.43,NA,58.43,""
31,209,58.72,0.4,58.72,""
31,210,59,NA,59,""
31,211,59,NA,59,""
31,212,59,NA,59,""
31,213,56.49,0.54,56.49,""
31,214,55.16,NA,55.16,""
31,215,49.4,4.86,49.81,""
31,216,54.84,1.77,54,""
31,217,55.98,1.76,56.22,""
31,218,59,NA,59,""
31,219,57.9,1.65,58.7,""
31,220,53.62,5.42,54.66,""
31,221,18.81,10.76,16.34,""
31,222,15.48,4.15,14.02,""
31,223,44.82,10.69,47.58,""
31,224,15.52,0.41,15.29,""
31,225,15.21,NA,15.21,""
31,226,2.75,3.62,0.55,""
31,227,5.22,3.78,4,""
31,228,1.34,3.29,0,""
31,229,18.53,1.79,19.43,""
31,230,17.66,2.45,17.7,""
31,231,3.8,0.97,3.75,""
31,232,2.28,3.41,0,""
31,233,3.21,2.28,3.48,""
31,234,3.95,4.03,3.29,""
31,235,12.42,0.82,12.42,""
31,236,16.9,1.82,15.88,""
31,237,7.99,3.78,7.24,""
31,238,4.53,1.81,4,""
31,239,3.12,5.43,0,""
31,240,30.61,NA,30.61,""
31,241,28.19,4.46,26.23,""
31,242,27.02,5.84,28.19,""
31,243,25.28,5.97,25.28,""
31,244,27.48,NA,27.48,""
31,245,2.25,2.17,2.27,""
31,246,0.88,1.93,0,""
31,247,6.14,1.8,6.67,""
31,248,4.43,1.73,4,""
31,249,2.8,1.82,3,""
31,250,5.07,2.22,4.08,""
31,251,1.28,1.53,0.08,""
31,252,2.96,3.2,1.63,""
31,253,10.29,NA,10.29,""
31,254,58.34,0.76,58.56,""
31,255,58.44,0.53,58.4,""
31,256,58.11,1.18,58.56,""
31,257,59,NA,59,""
31,258,59,NA,59,""
31,259,59,0,59,""
31,260,58.93,0.18,59,""
31,261,58.4,0.71,58.58,""
31,262,59,NA,59,""
31,263,56.8,NA,56.8,""
31,264,58.6,NA,58.6,""
31,265,59,0,59,""
31,266,58.31,1.2,59,""
31,267,59,0,59,""
31,268,59,0,59,""
31,270,59,NA,59,""
31,271,59,NA,59,""
31,272,59,NA,59,""
31,273,59,0,59,""
31,274,59,NA,59,""
31,275,59,0,59,""
31,276,59,NA,59,""
31,277,59,NA,59,""
31,278,59,0,59,""
31,279,59,NA,59,""
31,280,59,NA,59,""
31,281,59,0,59,""
31,282,59,0,59,""
31,283,59,NA,59,""
31,284,59,NA,59,""
31,285,59,NA,59,""
31,286,59,0,59,""
31,287,59,NA,59,""
31,288,59,NA,59,""
31,289,58.88,NA,58.88,""
31,290,59,0,59,""
31,291,59,0,59,""
31,292,59,NA,59,""
31,293,59,0,59,""
31,294,59,0,59,""
31,295,59,NA,59,""
31,296,59,0,59,""
31,297,59,0,59,""
31,298,59,NA,59,""
31,299,59,NA,59,""
31,300,59,0,59,""
31,301,59,0,59,""
31,302,59,NA,59,""
31,303,59,NA,59,""
31,304,59,0,59,""
31,305,59,0,59,""
31,306,59,NA,59,""
31,307,59,0,59,""
31,308,58.52,0.53,58.52,""
31,309,58.94,0.08,58.94,""
31,310,58.94,0.08,58.94,""
31,311,59,NA,59,""
31,312,59,0,59,""
31,313,59,NA,59,""
31,314,59,0,59,""
31,315,59,0,59,""
31,316,59,0,59,""
31,317,59,NA,59,""
31,318,59,0,59,""
31,319,59,0,59,""
31,320,59,NA,59,""
31,321,59,NA,59,""
31,322,59,0,59,""
31,323,59,0,59,""
31,324,59,0,59,""
31,325,59,NA,59,""
31,326,59,NA,59,""
31,327,59,NA,59,""
31,328,59,0,59,""
31,329,59,0,59,""
31,330,59,0,59,""
31,331,59,0,59,""
31,332,59,NA,59,""
31,333,59,0,59,""
31,334,59,NA,59,""
31,335,59,NA,59,""
31,336,59,0,59,""
31,337,59,NA,59,""
31,338,59,0,59,""
31,339,59,NA,59,""
31,340,59,0,59,""
31,341,59,0,59,""
31,342,59,0,59,""
31,343,58.92,0.07,58.89,""
31,344,58.94,0.08,58.94,""
31,345,58.94,0.08,58.94,""
31,346,58.97,0.06,59,""
31,347,59,0,59,""
31,348,59,0,59,""
31,349,59,NA,59,""
31,350,59,0,59,""
31,351,59,0,59,""
31,352,59,NA,59,""
31,353,59,0,59,""
31,354,59,0,59,""
31,355,59,0,59,""
31,356,59,0,59,""
31,357,59,NA,59,""
31,358,59,0,59,""
31,359,59,0,59,""
31,360,59,0,59,""
31,361,59,0,59,""
31,362,59,0,59,""
31,363,59,0,59,""
31,364,59,0,59,""
31,365,59,0,59,""
31,366,59,0,59,""
31,367,59,NA,59,""
31,368,59,0,59,""
31,369,59,NA,59,""
31,370,59,0,59,""
31,371,59,0,59,""
31,372,59,NA,59,""
31,373,59,0,59,""
31,374,58.89,NA,58.89,""
31,375,58.97,0.05,59,""
31,376,59,NA,59,""
31,377,59,0,59,""
31,378,59,0,59,""
31,379,59,0,59,""
31,380,59,0,59,""
31,381,58.61,0.58,58.89,""
31,382,58.83,0.21,58.88,""
31,383,59,NA,59,""
31,384,59,NA,59,""
31,385,59,0,59,""
31,386,59,0,59,""
31,387,59,NA,59,""
31,388,59,0,59,""
31,389,59,0,59,""
31,390,59,0,59,""
31,391,59,NA,59,""
31,392,59,0,59,""
31,393,59,0,59,""
31,394,59,NA,59,""
31,395,59,NA,59,""
31,396,59,0,59,""
31,397,59,0,59,""
31,398,59,NA,59,""
31,399,59,0,59,""
31,400,59,NA,59,""
31,401,59,NA,59,""
31,402,59,0,59,""
31,403,59,NA,59,""
31,404,59,NA,59,""
31,405,59,0,59,""
31,406,59,0,59,""
31,407,59,0,59,""
31,408,59,0,59,""
31,409,59,0,59,""
31,410,59,0,59,""
31,411,59,0,59,""
31,412,59,NA,59,""
31,413,59,NA,59,""
31,414,59,0,59,""
31,415,59,0,59,""
31,416,59,NA,59,""
31,417,59,0,59,""
31,418,59,0,59,""
31,419,59,0,59,""
31,420,59,0,59,""
31,421,59,0,59,""
31,422,59,0,59,""
31,423,59,0,59,""
31,424,59,0,59,""
31,425,59,0,59,""
31,426,59,0,59,""
31,427,59,NA,59,""
31,428,59,0,59,""
31,429,59,NA,59,""
31,430,59,0,59,""
31,431,59,0,59,""
31,432,59,0,59,""
31,433,59,NA,59,""
31,434,59,NA,59,""
31,435,59,0,59,""
31,436,59,0,59,""
31,437,59,0,59,""
31,438,59,0,59,""
31,439,59,0,59,""
31,440,59,0,59,""
31,441,58.9,0.17,59,""
31,442,59,NA,59,""
31,443,59,NA,59,""
31,444,59,NA,59,""
31,445,59,0,59,""
31,446,59,NA,59,""
31,447,59,0,59,""
31,448,59,NA,59,""
31,449,59,0,59,""
31,450,59,0,59,""
31,451,59,NA,59,""
31,452,59,0,59,""
31,453,59,0,59,""
31,454,59,0,59,""
31,455,59,0,59,""
31,456,59,0,59,""
31,457,59,NA,59,""
31,458,59,0,59,""
31,459,59,0,59,""
31,460,59,NA,59,""
31,461,59,0,59,""
31,462,59,0,59,""
31,463,59,NA,59,""
31,464,59,0,59,""
31,465,59,NA,59,""
31,466,59,0,59,""
31,467,59,NA,59,""
31,468,59,NA,59,""
31,469,59,0,59,""
31,470,59,NA,59,""
31,471,59,NA,59,""
31,472,58.97,0.05,59,""
31,473,58.2,0.7,58.15,""
31,475,59,0,59,""
31,476,43.75,16.35,51.26,""
31,477,59,0,59,""
31,478,59,0,59,""
31,479,59,0,59,""
31,480,59,0,59,""
31,481,59,NA,59,""
31,482,59,0,59,""
31,483,59,0,59,""
31,484,59,0,59,""
31,485,59,0,59,""
31,486,59,NA,59,""
31,487,59,NA,59,""
31,488,59,NA,59,""
31,489,59,0,59,""
31,490,59,NA,59,""
31,491,59,0,59,""
31,492,59,0,59,""
31,493,59,NA,59,""
31,494,59,0,59,""
31,495,59,0,59,""
31,496,59,0,59,""
31,497,59,0,59,""
31,498,59,0,59,""
31,499,59,0,59,""
31,500,59,NA,59,""
31,501,59,NA,59,""
31,502,59,0,59,""
31,503,59,0,59,""
31,504,59,0,59,""
31,505,59,0,59,""
31,506,59,0,59,""
31,507,59,NA,59,""
31,508,59,0,59,""
31,509,59,0,59,""
31,510,59,0,59,""
31,511,59,NA,59,""
31,512,59,NA,59,""
31,513,59,0,59,""
31,514,59,NA,59,""
31,515,59,0,59,""
31,516,59,NA,59,""
31,517,59,0,59,""
31,518,59,NA,59,""
31,519,59,0,59,""
31,520,59,NA,59,""
31,521,59,0,59,""
31,522,59,0,59,""
31,523,59,0,59,""
31,524,59,0,59,""
31,525,59,NA,59,""
31,526,59,0,59,""
31,527,59,0,59,""
31,528,59,NA,59,""
31,529,59,0,59,""
31,530,59,0,59,""
31,531,59,NA,59,""
31,532,59,0,59,""
31,533,59,NA,59,""
31,534,59,0,59,""
31,535,59,0,59,""
31,536,59,NA,59,""
31,537,59,0,59,""
31,538,59,0,59,""
31,539,59,0,59,""
31,540,59,0,59,""
31,541,59,NA,59,""
31,542,59,0,59,""
31,543,59,NA,59,""
31,544,59,0,59,""
31,545,59,0,59,""
31,546,59,0,59,""
31,547,59,0,59,""
31,548,59,0,59,""
31,549,59,NA,59,""
31,550,59,0,59,""
31,551,59,0,59,""
31,552,59,0,59,""
31,553,59,NA,59,""
31,554,59,0,59,""
31,555,59,0,59,""
31,556,59,NA,59,""
31,557,59,0,59,""
31,558,59,NA,59,""
31,559,59,NA,59,""
31,560,59,0,59,""
31,561,59,NA,59,""
31,562,59,NA,59,""
31,563,59,0,59,""
31,564,59,0,59,""
31,565,59,0,59,""
31,566,59,NA,59,""
31,567,58.85,0.29,59,""
31,568,58.71,0.42,58.71,""
31,569,59,0,59,""
31,570,57.64,NA,57.64,""
31,571,58.41,NA,58.41,""
31,572,58.71,0.42,58.71,""
31,573,59,NA,59,""
31,574,59,0,59,""
31,575,59,0,59,""
31,576,58.85,0.3,59,""
31,577,58.39,NA,58.39,""
31,578,58.41,NA,58.41,""
31,579,57.43,0.99,57.44,""
31,580,58.45,0.4,58.38,""
31,581,58.73,0.32,58.8,""
31,582,59,0,59,""
31,583,59,0,59,""
31,584,59,0,59,""
31,585,59,NA,59,""
31,586,59,0,59,""
31,587,59,NA,59,""
31,588,59,NA,59,""
31,589,59,0,59,""
31,590,59,0,59,""
31,591,59,0,59,""
31,592,59,0,59,""
31,593,59,NA,59,""
31,594,59,0,59,""
31,595,59,0,59,""
31,596,59,0,59,""
31,597,59,0,59,""
31,598,59,0,59,""
31,599,59,0,59,""
31,600,59,NA,59,""
31,601,59,NA,59,""
31,602,59,0,59,""
31,603,59,0,59,""
31,604,59,0,59,""
31,605,59,0,59,""
31,606,59,NA,59,""
31,607,59,0,59,""
31,608,59,NA,59,""
31,609,59,NA,59,""
31,610,59,0,59,""
31,611,58.84,0.34,59,""
31,612,59,0,59,""
31,613,59,0,59,""
31,614,59,0,59,""
31,615,59,0,59,""
31,616,59,0,59,""
31,617,59,0,59,""
31,618,59,NA,59,""
31,619,59,NA,59,""
31,620,59,NA,59,""
31,621,59,0,59,""
31,622,59,NA,59,""
31,623,59,0,59,""
31,624,59,0,59,""
31,625,54.24,4.76,54.47,""
31,626,56.51,3.05,57.41,""
31,627,58.13,0.87,58.08,""
31,628,58.02,1.47,58.59,""
31,629,6.23,2.36,6.4,""
31,630,18.93,8.96,19.85,""
31,631,12.33,7.59,9.82,""
31,632,9.29,3.76,9.41,""
31,633,18.28,5.39,17.77,""
31,634,33.59,3.95,34.38,""
31,635,33.47,4.75,34.02,""
31,636,23.97,8.26,23.52,""
31,637,20.57,4.25,21.83,""
31,638,41.93,9.76,41.53,""
31,639,43.84,7.87,44.01,""
31,640,37.18,11.17,36.63,""
31,641,43.85,6.96,44.48,""
31,642,40.19,12.69,42.03,""
31,643,24.64,8.42,23.27,""
