"edon","seccion","mean","sd","median","note"
32,1,1.32,3.61,0,""
32,2,3.4,3.82,2.44,""
32,3,9.6,2.57,9.43,""
32,4,5.5,4.24,6.13,""
32,5,7.22,4.56,7,""
32,6,4.97,4.88,3.09,""
32,7,2.3,1.65,2.54,""
32,8,5.49,5.36,4.76,""
32,9,0.01,0.06,0,""
32,10,4.45,4.5,3.46,""
32,11,0,0,0,""
32,12,0,0,0,""
32,13,7.86,4.65,8.39,""
32,14,4.96,1.52,4.64,""
32,15,2.4,2.08,2.07,""
32,16,2.99,1.46,3.19,""
32,17,4.99,1.21,4.82,""
32,18,4.91,1.78,5,""
32,19,2.58,1.64,3.02,""
32,20,3.99,0.41,4,""
32,21,3.46,0.96,3.81,""
32,22,4.6,3.7,4.29,""
32,23,1.1,2.49,0,""
32,24,1.64,2.39,0.18,""
32,25,0.74,2.09,0,""
32,26,1.47,1.76,0.71,""
32,27,2.18,1.32,2.71,""
32,28,0.02,0.17,0,""
32,29,1.45,1.29,1.65,""
32,30,0,0,0,""
32,31,1.92,2.91,0,""
32,32,1.11,2.24,0,""
32,33,2.79,4.38,0.39,""
32,34,5.64,1.25,5.64,""
32,35,1.55,2.57,0.21,""
32,36,0.22,0.97,0,""
32,37,0,0,0,""
32,38,0,0,0,""
32,39,0,0,0,""
32,40,35.26,18.66,39.99,""
32,41,51.25,5.1,52.41,""
32,42,50.47,3.88,50.26,""
32,43,47.17,0.62,47.17,""
32,44,10.46,10.14,4.99,""
32,45,46.89,4.77,46.62,""
32,46,53.76,1.2,53.76,""
32,47,55.23,2.32,55.22,""
32,48,36.66,12.83,37.69,""
32,49,55.22,NA,55.22,""
32,50,10.19,13.87,4.02,""
32,51,51.25,5.01,52.91,""
32,52,49.02,5.38,46.21,""
32,53,9.4,4.6,9.85,""
32,54,9.47,12.27,4.13,""
32,55,19.45,10.31,16.18,""
32,56,12.19,1.64,12.16,""
32,57,3.98,3.06,3.7,""
32,58,3.58,2.64,3.96,""
32,59,1.55,1.71,0,""
32,60,0.21,0.71,0,""
32,61,1.85,4.03,0,""
32,62,19.15,NA,19.15,""
32,63,17.17,NA,17.17,""
32,64,13.98,3.1,12.94,""
32,65,18.26,NA,18.26,""
32,66,0.53,1.96,0,""
32,67,12.4,NA,12.4,""
32,68,0.62,1.63,0,""
32,69,0.93,1.74,0,""
32,70,0.59,1.16,0,""
32,71,0.48,1.69,0,""
32,73,19.8,1.35,19.8,""
32,74,11.92,4.68,11.03,""
32,75,18.27,2.01,18.14,""
32,76,12.5,2.67,12.02,""
32,77,20.75,NA,20.75,""
32,78,17.71,2.49,17.71,""
32,79,5.18,6.3,1.58,""
32,80,16.75,0.97,16.75,""
32,82,0.19,1.09,0,""
32,83,0.2,0.73,0,""
32,84,1.07,2.67,0,""
32,85,5.96,5.34,4.92,""
32,86,0,0,0,""
32,87,0,0,0,""
32,88,0,0,0,""
32,89,0,0.05,0,""
32,90,0,0,0,""
32,91,0,0,0,""
32,92,0,0,0,""
32,93,0,0,0,""
32,94,0.3,0.87,0,""
32,95,0,0,0,""
32,96,0,0,0,""
32,97,0,0,0,""
32,98,0,0,0,""
32,99,0,0,0,""
